row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Đặt cọc cho mục đích đầu tư (i),Ngắn hạn: > Đặt cọc cho mục đích đầu tư (i),Đặt cọc cho mục đích đầu tư (i),1.264.976.298.547,807.162.886.835,1264976298547.0,807162886835.0
Cổ tức ứng trước cho cổ đông nằm cổ phiếu ưu đãi,Ngắn hạn: > Cổ tức ứng trước cho cổ đông nằm cổ phiếu ưu đãi,Cổ tức ứng trước cho cổ đông nằm cổ phiếu ưu đãi,278.572.874.915,178.055.416.737,278572874915.0,178055416737.0
Tài sản ngắn hạn khác,Ngắn hạn: > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,6.819.389.867,,6819389867.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,1.543.549.173.462,992.037.693.439,1543549173462.0,992037693439.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Đặt cọc cho mục đích đầu tư (ii),Dài hạn: > Đặt cọc cho mục đích đầu tư (ii),Đặt cọc cho mục đích đầu tư (ii),1.500.000.000.000,2.200.000.000.000,1500000000000.0,2200000000000.0
Tài sản dài hạn khác,Dài hạn: > Tài sản dài hạn khác,Tài sản dài hạn khác,1.848.360.000,86.597.548,1848360000.0,86597548.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,1.501.848.360.000,2.200.086.597.548,1501848360000.0,2200086597548.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Đặt cọc và ứng trước cho các bên khác,Trong đó: > Đặt cọc và ứng trước cho các bên khác,Đặt cọc và ứng trước cho các bên khác,1.956.310.115.835,2.756.739.320.750,1956310115835.0,2756739320750.0
Đặt cọc và ứng trước cho các bên liên quan (Thuyết minh số 35),Trong đó: > Đặt cọc và ứng trước cho các bên liên quan (Thuyết minh số 35),Đặt cọc và ứng trước cho các bên liên quan (Thuyết minh số 35),1.089.087.417.627,435.384.970.237,1089087417627.0,435384970237.0
