row_label_raw,row_label_full,Bất động sản đầu tư,Tỷ đồng Việt Nam,numeric__Tỷ đồng Việt Nam
Tòa nhà Vincom Bà Triệu – Tòa tháp A & B (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp A & B (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp A & B (khu TTTM),2.331,2331.0
Tòa nhà Vincom Bà Triệu – Tòa tháp C (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp C (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp C (khu TTTM),1.313,1313.0
Tòa nhà Vincom Đồng Khởi (khu văn phòng),Tòa nhà Vincom Đồng Khởi (khu văn phòng),Tòa nhà Vincom Đồng Khởi (khu văn phòng),4.910,4910.0
Tòa nhà Vincom Đồng Khởi (khu TTTM),Tòa nhà Vincom Đồng Khởi (khu TTTM),Tòa nhà Vincom Đồng Khởi (khu TTTM),5.367,5367.0
Tòa nhà Vincom Long Biên,Tòa nhà Vincom Long Biên,Tòa nhà Vincom Long Biên,387,387.0
Tòa nhà Vincom Thử Đức,Tòa nhà Vincom Thử Đức,Tòa nhà Vincom Thử Đức,630,630.0
"Tòa nhà Vincom Ngô Quyền, Đà Nẵng","Tòa nhà Vincom Ngô Quyền, Đà Nẵng","Tòa nhà Vincom Ngô Quyền, Đà Nẵng",604,604.0
Tòa nhà 307-309 Võ Văn Ngân,Tòa nhà 307-309 Võ Văn Ngân,Tòa nhà 307-309 Võ Văn Ngân,138,138.0
Tòa nhà Vincom Hạ Long,Tòa nhà Vincom Hạ Long,Tòa nhà Vincom Hạ Long,444,444.0
Khu TTTM Vincom Mega Mall Royal City,Khu TTTM Vincom Mega Mall Royal City,Khu TTTM Vincom Mega Mall Royal City,6.887,6887.0
Khu TTTM Vincom Mega Mall Times City,Khu TTTM Vincom Mega Mall Times City,Khu TTTM Vincom Mega Mall Times City,4.874,4874.0
"Khu TTTM Vincom Center Hùng Vương, Cần Thơ","Khu TTTM Vincom Center Hùng Vương, Cần Thơ","Khu TTTM Vincom Center Hùng Vương, Cần Thơ",271,271.0
"Khu TTTM Vincom Lê Thánh Tông, Hải Phòng","Khu TTTM Vincom Lê Thánh Tông, Hải Phòng","Khu TTTM Vincom Lê Thánh Tông, Hải Phòng",385,385.0
"Khu TTTM Vincom Long Xuyên, An Giang","Khu TTTM Vincom Long Xuyên, An Giang","Khu TTTM Vincom Long Xuyên, An Giang",236,236.0
Khu TTTM Vincom Mega Mall Thảo Điền,Khu TTTM Vincom Mega Mall Thảo Điền,Khu TTTM Vincom Mega Mall Thảo Điền,1.797,1797.0
Khu TTTM Vincom Nguyễn Chí Thanh,Khu TTTM Vincom Nguyễn Chí Thanh,Khu TTTM Vincom Nguyễn Chí Thanh,3.066,3066.0
Tòa nhà Vincom Việt Trì,Tòa nhà Vincom Việt Trì,Tòa nhà Vincom Việt Trì,337,337.0
Bệnh viện Hoàn Mỹ,Bệnh viện Hoàn Mỹ,Bệnh viện Hoàn Mỹ,28,28.0
Tòa nhà Maximark Nha Trang,Tòa nhà Maximark Nha Trang,Tòa nhà Maximark Nha Trang,160,160.0
Tòa nhà Maximark Phan Rang,Tòa nhà Maximark Phan Rang,Tòa nhà Maximark Phan Rang,103,103.0
Tòa nhà Maximark Quận 2,Tòa nhà Maximark Quận 2,Tòa nhà Maximark Quận 2,65,65.0
Tòa nhà Maximark Cộng Hòa,Tòa nhà Maximark Cộng Hòa,Tòa nhà Maximark Cộng Hòa,429,429.0
Tòa nhà Maximark 3 tháng 2,Tòa nhà Maximark 3 tháng 2,Tòa nhà Maximark 3 tháng 2,188,188.0
Tòa nhà Maximark Cam Ranh,Tòa nhà Maximark Cam Ranh,Tòa nhà Maximark Cam Ranh,90,90.0
