row_label_raw,row_label_full,col_0,Lợi thế thương mại từ hợp nhất,Lợi thế thương mại từ hợp nhất_1,Lợi thế thương mại từ hợp nhất_2,Tổng cộng,numeric__Lợi thế thương mại từ hợp nhất,numeric__Lợi thế thương mại từ hợp nhất_1,numeric__Lợi thế thương mại từ hợp nhất_2,numeric__Tổng cộng
,,,Công ty Vincom Long Biên,Công ty Khánh Gia (Thuyết minh số 4.2),Công ty An Phong (Thuyết minh số 4.2),Tổng cộng,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm- Phát sinh từ hợp nhất kinh doanh,Nguyên giá: > Số đầu năm- Phát sinh từ hợp nhất kinh doanh,Số đầu năm- Phát sinh từ hợp nhất kinh doanh,33.000.000.000,-,-,33.000.000.000,33000000000.0,,,33000000000.0
Số đầu năm- Phát sinh từ hợp nhất kinh doanh,Nguyên giá: > Số đầu năm- Phát sinh từ hợp nhất kinh doanh,Số đầu năm- Phát sinh từ hợp nhất kinh doanh,-,210.288.409.384,430.945.032.718,641.233.442.102,,210288409384.0,430945032718.0,641233442102.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,33.000.000.000,210.288.409.384,430.945.032.718,674.233.442.102,33000000000.0,210288409384.0,430945032718.0,674233442102.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,,
Số đầu năm- Phân bổ trong năm,Phân bổ lũy kế: > Số đầu năm- Phân bổ trong năm,Số đầu năm- Phân bổ trong năm,5.460.821.918,-,-,5.460.821.918,5460821918.0,,,5460821918.0
Số đầu năm- Phân bổ trong năm,Phân bổ lũy kế: > Số đầu năm- Phân bổ trong năm,Số đầu năm- Phân bổ trong năm,3.300.000.000,12.672.543.857,7.281.479.565,23.254.023.422,3300000000.0,12672543857.0,7281479565.0,23254023422.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,8.760.821.918,12.672.543.857,7.281.479.565,28.714.845.340,8760821918.0,12672543857.0,7281479565.0,28714845340.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,27.539.178.082,-,-,27.539.178.082,27539178082.0,,,27539178082.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,24.239.178.082,197.615.865.527,423.663.553.153,645.518.596.762,24239178082.0,197615865527.0,423663553153.0,645518596762.0
