row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND Số đầu năm > Giá trị,Đơn vị tính: VND Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND Số đầu năm > Giá trị,numeric__Đơn vị tính: VND Số đầu năm > Dự phòng
Lãi phải thu,Lãi phải thu,Lãi phải thu,437.630.857.792,(6.345.928.767),153.971.629.118,-,437630857792.0,-6345928767.0,153971629118.0,
Phải thu từ thanh lý tài sản,Phải thu từ thanh lý tài sản,Phải thu từ thanh lý tài sản,-,-,35.989.974.969,-,,,35989974969.0,
Chỉ hộ phải thu,Chỉ hộ phải thu,Chỉ hộ phải thu,128.180.784.882,-,7.911.510.915,-,128180784882.0,,7911510915.0,
Phải thu thanh lý khoản đầu tư,Phải thu thanh lý khoản đầu tư,Phải thu thanh lý khoản đầu tư,29.376.903.500,-,,-,29376903500.0,,,
Tạm ứng cho mục đích mua cổ phần,Tạm ứng cho mục đích mua cổ phần,Tạm ứng cho mục đích mua cổ phần,22.600.000.000,-,,-,22600000000.0,,,
Phải thu chủ sở hữu cũ của công ty con,Phải thu chủ sở hữu cũ của công ty con,Phải thu chủ sở hữu cũ của công ty con,220.279.946.923,-,,-,220279946923.0,,,
Phải thu công ty mẹ về dòng tiền quản lý tập trung,Phải thu công ty mẹ về dòng tiền quản lý tập trung,Phải thu công ty mẹ về dòng tiền quản lý tập trung,7.220.406.871,-,,-,7220406871.0,,,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,24.377.729.527,-,4.268.734.635,-,24377729527.0,,4268734635.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,869.666.629.495,(6.345.928.767),202.141.849.637,-,869666629495.0,-6345928767.0,202141849637.0,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,603.709.397.388,(6.345.928.767),25.408.168.910,-,603709397388.0,-6345928767.0,25408168910.0,
Phải thu khác từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu khác từ các bên liên quan (Thuyết minh số 35),Phải thu khác từ các bên liên quan (Thuyết minh số 35),265.957.232.107,-,176.733.680.727,-,265957232107.0,,176733680727.0,
