row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,3.421.296.949,3.526.656.136,3421296949.0,3526656136.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,130.500.391.854,66.872.668.086,130500391854.0,66872668086.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,42.252.624.224,3.290.481.596,42252624224.0,3290481596.0
,,,176.174.313.027,73.689.805.818,176174313027.0,73689805818.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên,Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,18.290.288.991,7.066.875.315,18290288991.0,7066875315.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,175.779.596.495,82.236.685.321,175779596495.0,82236685321.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,33.010.950.606,11.443.127.309,33010950606.0,11443127309.0
,,,227.080.836.092,100.746.687.945,227080836092.0,100746687945.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,403.255.149.119,174.436.493.763,403255149119.0,174436493763.0
