row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Vay từ bên liên quan,Trả gốc vay cho bên liên quan,Lãi vay phải trả cho bên liên quan,Lãi vay đã trả cho bên liên quan,Mua khoản đầu tư,Phát hành cổ phần mua khoản đầu tư,Trả tiền mua khoản đầu tư,numeric__Mối quan hệ,numeric__Vay từ bên liên quan,numeric__Trả gốc vay cho bên liên quan,numeric__Lãi vay phải trả cho bên liên quan,numeric__Lãi vay đã trả cho bên liên quan,numeric__Mua khoản đầu tư,numeric__Phát hành cổ phần mua khoản đầu tư,numeric__Trả tiền mua khoản đầu tư
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,(1.815.000.000.000),877.058.333.333,(1.035.652.994.259),883.380.506.733,(229.722.222.222),-,229.722.222.222,,-1815000000000.0,877058333333.0,-1035652994259.0,883380506733.0,-229722222222.0,,229722222222.0
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông,(43.884.375.000),-,-,27.016.220.662,-,-,-,,-43884375000.0,,,27016220662.0,,,
Credit Suisse,Credit Suisse,Credit Suisse,Cổ đông,(14.628.125.000),-,-,9.005.413.953,-,-,-,,-14628125000.0,,,9005413953.0,,,
Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty trong cùng Tập đoàn,-,-,-,-,(2.235.780.000.000),2.235.180.000.000,(600.000.000),,,,,,-2235780000000.0,2235180000000.0,-600000000.0
Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty trong cùng Tập đoàn,(270.000.000.000),-,(3.097.500.000),3.097.500.000,-,-,-,,-270000000000.0,,-3097500000.0,3097500000.0,,,
Công ty Cổ phần Vinfashion,Công ty Cổ phần Vinfashion,Công ty Cổ phần Vinfashion,Công ty trong cùng Tập đoàn,-,-,(9.673.408.963),-,-,-,-,,,,-9673408963.0,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Cho bên liên quan vay,Thu hồi gốc cho vay từ bên liên quan,Lãi vay phải thu từ bên liên quan,Lãi vay đã thu từ bên liên quan,Cổ tức phải trả,Cổ tức đã trả,,,,,,,,,
Tập đoàn Vingroup – Công ty CP,Bên liên quan > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,5.426.414.406.250,(4.385.012.500.000),413.315.422.915,(373.183.377.779),-,-,,,5426414406250.0,-4385012500000.0,413315422915.0,-373183377779.0,,,
Công ty TNHH Xây dựng Vincom,Bên liên quan > Công ty TNHH Xây dựng Vincom,Công ty TNHH Xây dựng Vincom,Công ty trong cùng Tập đoàn,-,-,9.474.646.935,-,-,-,,,,,9474646935.0,,,,
Warburg Pincus,Bên liên quan > Warburg Pincus,Warburg Pincus,Cổ đông,-,-,-,-,(251.447.000.000),251.447.000.000,,,,,,,-251447000000.0,251447000000.0,
Credit Suisse,Bên liên quan > Credit Suisse,Credit Suisse,Cổ đông,-,-,-,-,(83.816.000.000),83.816.000.000,,,,,,,-83816000000.0,83816000000.0,
Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Bên liên quan > Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty trong cùng tập đoàn,1.570.545.182.000,-,21.594.880.302,-,-,-,,,1570545182000.0,,21594880302.0,,,,
