row_label_raw,row_label_full,Bên liên quan > Doanh thu chưa thực hiện (Thuyết minh số 26),Mối quan hệ > Doanh thu chưa thực hiện (Thuyết minh số 26),Nội dung nghiệp vụ > Doanh thu chưa thực hiện (Thuyết minh số 26),Số cuối năm > Doanh thu chưa thực hiện (Thuyết minh số 26),Số đầu năm > Doanh thu chưa thực hiện (Thuyết minh số 26),numeric__Mối quan hệ > Doanh thu chưa thực hiện (Thuyết minh số 26),numeric__Nội dung nghiệp vụ > Doanh thu chưa thực hiện (Thuyết minh số 26),numeric__Số cuối năm > Doanh thu chưa thực hiện (Thuyết minh số 26),numeric__Số đầu năm > Doanh thu chưa thực hiện (Thuyết minh số 26)
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty trong cùng Tập đoàn,Doanh thu chưa thực hiện ngắn hạn,-,32.754.734.632,,,,32754734632.0
Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty Cổ phần Phát triển đô thị Nam Hà Nội,Công ty trong cùng Tập đoàn,Doanh thu chưa thực hiện ngắn hạn,-,17.123.600.903,,,,17123600903.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Doanh thu chưa thực hiện dài hạn,59.000.000.000,-,,,59000000000.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Doanh thu chưa thực hiện,430.000.000,-,,,430000000.0,
,,,,,59.430.000.000,49.878.335.535,,,59430000000.0,49878335535.0
