row_label_raw,row_label_full,Năm trước > Số đầu năm (Trình bày lại) > - Lợi nhuận trong năm,Vốn cổ phần đã góp > Năm trước > 9.303.800.000.000 > -,Thặng dư vốn cổ phần > Năm trước > 9.329.000.000 > -,Lợi nhuận sau thuế chưa phân phối/(lỗ lũy kế) (Trình bày lại) > Năm trước > 90.567.499.171 > 104.921.551.135,Quỹ khác > Năm trước > -,Lợi ích của cổ đông không kiểm soát > Năm trước > 440.002.727.735 > (81.109.809),Đơn vị tính: VND > Năm trước > 9.843.699.226.906 > 104.840.441.326,numeric__Vốn cổ phần đã góp > Năm trước > 9.303.800.000.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 9.329.000.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối/(lỗ lũy kế) (Trình bày lại) > Năm trước > 90.567.499.171 > 104.921.551.135,numeric__Quỹ khác > Năm trước > -,numeric__Lợi ích của cổ đông không kiểm soát > Năm trước > 440.002.727.735 > (81.109.809),numeric__Đơn vị tính: VND > Năm trước > 9.843.699.226.906 > 104.840.441.326
- Cổ phần phát hành thêm,- Cổ phần phát hành thêm,- Cổ phần phát hành thêm,2.706.780.000.000,61.927.000.000,-,-,-,2.768.707.000.000,2706780000000.0,61927000000.0,,,,2768707000000.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,(327.325.531.135),-,-,(327.325.531.135),,,-327325531135.0,,,-327325531135.0
- Mua công ty con mới,- Mua công ty con mới,- Mua công ty con mới,-,-,-,-,29.649.249.700,29.649.249.700,,,,,29649249700.0,29649249700.0
- Mua thêm một phần lợi ích trong công ty con hiện hữu,- Mua thêm một phần lợi ích trong công ty con hiện hữu,- Mua thêm một phần lợi ích trong công ty con hiện hữu,-,-,-,-,(413.573.122.504),(413.573.122.504),,,,,-413573122504.0,-413573122504.0
Số cuối năm (Trình bày lại),Số cuối năm (Trình bày lại),Số cuối năm (Trình bày lại),12.010.580.000.000,71.256.000.000,(131.836.480.829),-,55.997.745.122,12.005.997.264.293,12010580000000.0,71256000000.0,-131836480829.0,,55997745122.0,12005997264293.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm (Trình bày lại),Năm nay > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),12.010.580.000.000,71.256.000.000,(131.836.480.829),-,55.997.745.122,12.005.997.264.293,12010580000000.0,71256000000.0,-131836480829.0,,55997745122.0,12005997264293.0
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,1.089.883.818.132,-,14.550.798,1.089.898.368.930,,,1089883818132.0,,14550798.0,1089898368930.0
- Vốn cổ phần phát hành thêm,Năm nay > - Vốn cổ phần phát hành thêm,- Vốn cổ phần phát hành thêm,2.152.567.470.000,-,-,-,-,2.152.567.470.000,2152567470000.0,,,,,2152567470000.0
- Chia cổ tức,Năm nay > - Chia cổ tức,- Chia cổ tức,-,-,(446.120.191.822),-,-,(446.120.191.822),,,-446120191822.0,,,-446120191822.0
- Mua công ty con mới được đồng kiểm soát (xem Thuyết minh số 4.2),Năm nay > - Mua công ty con mới được đồng kiểm soát (xem Thuyết minh số 4.2),- Mua công ty con mới được đồng kiểm soát (xem Thuyết minh số 4.2),3.098.000.000,6.388.247.691,,(58.419.891.967),43.732.284.354,(5.201.359.922),3098000000.0,6388247691.0,,-58419891967.0,43732284354.0,-5201359922.0
- Công ty liên kết mua công ty con mới được đồng kiểm soát (Thuyết minh số 18.1),Năm nay > - Công ty liên kết mua công ty con mới được đồng kiểm soát (Thuyết minh số 18.1),- Công ty liên kết mua công ty con mới được đồng kiểm soát (Thuyết minh số 18.1),-,-,-,86.879.953.461,-,86.879.953.461,,,,86879953461.0,,86879953461.0
- Mua thêm một phần lợi ích trong công ty con hiện hữu,Năm nay > - Mua thêm một phần lợi ích trong công ty con hiện hữu,- Mua thêm một phần lợi ích trong công ty con hiện hữu,6.000.000.000,20.553.449.998,(54.568.137),-,(26.498.881.861),-,6000000000.0,20553449998.0,-54568137.0,,-26498881861.0,
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,14.172.245.470.000,98.197.697.689,511.872.577.344,28.460.061.494,73.245.698.413,14.884.021.504.940,14172245470000.0,98197697689.0,511872577344.0,28460061494.0,73245698413.0,14884021504940.0
