row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số đầu năm
Phải trả ngắn hạn cho người bán,Phải trả ngắn hạn cho người bán,Phải trả ngắn hạn cho người bán,319.486.150.591,15.879.231.858,319486150591.0,15879231858.0
Phải trả ngắn hạn cho bên liên quan (Thuyết minh số 35),Phải trả ngắn hạn cho bên liên quan (Thuyết minh số 35),Phải trả ngắn hạn cho bên liên quan (Thuyết minh số 35),557.494.998.527,131.768.986.464,557494998527.0,131768986464.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,876.981.149.118,147.648.218.322,876981149118.0,147648218322.0
Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên 10% tổng phải trả:Phải trả Công ty TNHH Quản lý Xây dựng Vincom 1,Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên 10% tổng phải trả:Phải trả Công ty TNHH Quản lý Xây dựng Vincom 1,Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên 10% tổng phải trả:Phải trả Công ty TNHH Quản lý Xây dựng Vincom 1,391.054.008.240,108.167.394.622,391054008240.0,108167394622.0
