row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Vay từ bên liên quan,Trả gốc vay cho bên liên quan,Lãi vay phải trả cho bên liên quan,Lãi vay đã trả cho bên liên quan,Cho bên liên quan vay,Thu hồi gốc cho vay từ bên liên quan,Lãi vay phải thu từ bên liên quan,Lãi vay đã thu từ bên liên quan,numeric__Mối quan hệ,numeric__Vay từ bên liên quan,numeric__Trả gốc vay cho bên liên quan,numeric__Lãi vay phải trả cho bên liên quan,numeric__Lãi vay đã trả cho bên liên quan,numeric__Cho bên liên quan vay,numeric__Thu hồi gốc cho vay từ bên liên quan,numeric__Lãi vay phải thu từ bên liên quan,numeric__Lãi vay đã thu từ bên liên quan
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ,(5.110.700.000.000),1.600.000.000.000,(953.454.789.304),523.613.590.413,-,(894.987.500.000),419.775.178.319,(369.602.951.137),,-5110700000000.0,1600000000000.0,-953454789304.0,523613590413.0,,-894987500000.0,419775178319.0,-369602951137.0
Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty trong cùng Tập đoàn,-,270.000.000.000,-,-,-,-,-,-,,,270000000000.0,,,,,,
Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty trong cùng Tập đoàn,-,-,-,-,210.000.000.000,(1.780.545.182.000),-,-,,,,,,210000000000.0,-1780545182000.0,,
Công ty Quản lý Xây dựng Vincom 1,Công ty Quản lý Xây dựng Vincom 1,Công ty Quản lý Xây dựng Vincom 1,Công ty trong cùng Tập đoàn,-,-,-,-,-,-,97.318.672.595,(9.474.646.935),,,,,,,,97318672595.0,-9474646935.0
