row_label_raw,row_label_full,col_0,Năm trước(Số liệu đã trình bày)Triệu đồng,Phân loại lạiTriệu đồng,Năm trước(Phân loại lại)Triệu đồng,numeric__Năm trước(Số liệu đã trình bày)Triệu đồng,numeric__Phân loại lạiTriệu đồng,numeric__Năm trước(Phân loại lại)Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,14.959.081(8.611.781),(324.818)352.342,14.634.263(8.259.439),,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,14.959.081(8.611.781),(324.818)352.342,14.634.263(8.259.439),,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,6.347.300,27.524,6.374.824,6347300.0,27524.0,6374824.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Chi phí lãi và các chi phí tương tự > Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,157.437,(27.524),129.913,157437.0,-27524.0,129913.0
