row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,numeric__Thuyết minh,numeric__Số cuối năm Triệu đồng,numeric__Số đầu năm Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Ngân hàng Nhà nước Việt Nam,Các khoản nợ Ngân hàng Nhà nước Việt Nam,19,7.911.883,156.253,19.0,7911883.0,156253.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,20,40.689.261,37.217.378,20.0,40689261.0,37217378.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,20.1,22.837.748,12.244.362,201.0,22837748.0,12244362.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,20.2,17.851.513,24.973.016,202.0,17851513.0,24973016.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,21,128.060.094,120.537.469,21.0,128060094.0,120537469.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,10,-,70.098,10.0,,70098.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",22,3.045.666,2.927.741,22.0,3045666.0,2927741.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,23,14.927.000,9.793.000,23.0,14927000.0,9793000.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,4.595.362,3.873.226,,4595362.0,3873226.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",24.1,3.143.348,2.695.865,241.0,3143348.0,2695865.0
Thuế TNDN hoãn lại phải trả,NỘ PHẢI TRẢ > Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,25.2,1.585,-,252.0,1585.0,
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,24.2,1.450.429,1.177.361,242.0,1450429.0,1177361.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,199.229.266,174.575.165,,199229266.0,174575165.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,11.852.342,11.852.342,,11852342.0,11852342.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,9.810.000,9.810.000,,9810000.0,9810000.0
Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,VỐN CHỦ SỞ HỮU > Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Vốn đầu tư xây dựng cơ bản và mua sắm tài sản cố định,,89,89,,89.0,89.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,2.042.255,2.042.255,,2042255.0,2042255.0
Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > Cổ phiếu quỹ,Cổ phiếu quỹ,,(2),(2),,-2.0,-2.0
Các quỹ dự trữ,VỐN CHỦ SỞ HỮU > Các quỹ dự trữ,Các quỹ dự trữ,,775.800,453.708,,775800.0,453708.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,3.007.022,1.769.506,,3007022.0,1769506.0
Lợi ích cổ đông không kiểm soát,VỐN CHỦ SỞ HỮU > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,1.192.976,683.550,,1192976.0,683550.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,26.1,16.828.140,14.759.106,261.0,16828140.0,14759106.0
"TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ICH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT","VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ICH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT","TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ICH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT",,216.057.406,189.334.271,,216057406.0,189334271.0
