row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Quyền sửdụng đấtTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Quyền sửdụng đấtTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.383,42.654,46.037,3383.0,42654.0,46037.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,6.310,6.310,,6310.0,6310.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.383,48.964,52.347,3383.0,48964.0,52347.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,268,-,268,268.0,,268.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,124,-,124,124.0,,124.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,392,-,392,392.0,,392.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.115,42.654,45.769,3115.0,42654.0,45769.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.991,48.964,51.955,2991.0,48964.0,51955.0
