row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2018,Tài sản tại ngày 31 tháng 12 năm 2018,Tài sản tại ngày 31 tháng 12 năm 2018,Tài sản tại ngày 31 tháng 12 năm 2018,Tài sản tại ngày 31 tháng 12 năm 2018,Tài sản tại ngày 31 tháng 12 năm 2018,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2018 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,31.834.880,590.664,32.425.544,31834880.0,590664.0,32425544.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Tài sản tại ngày 31 tháng 12 năm 2018 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),36.127.928,-,36.127.928,36127928.0,,36127928.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2018 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,123.131.648,-,123.131.648,123131648.0,,123131648.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2018 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,46.246.993,-,46.246.993,46246993.0,,46246993.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2018 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",185.117,-,185.117,185117.0,,185117.0
Công nợ tại ngày 31 tháng 12 năm 2018,Công nợ tại ngày 31 tháng 12 năm 2018,Công nợ tại ngày 31 tháng 12 năm 2018,Công nợ tại ngày 31 tháng 12 năm 2018,Công nợ tại ngày 31 tháng 12 năm 2018,Công nợ tại ngày 31 tháng 12 năm 2018,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2018 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,37.836.891,2.852.370,40.689.261,37836891.0,2852370.0,40689261.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2018 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,128.060.094,-,128.060.094,128060094.0,,128060094.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2018 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",3.045.666,-,3.045.666,3045666.0,,3045666.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2018 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,14.927.000,,14.927.000,14927000.0,,14927000.0
Cam kết ngoại bảng tạingày 31 tháng 12 năm 2018,Công nợ tại ngày 31 tháng 12 năm 2018 > Cam kết ngoại bảng tạingày 31 tháng 12 năm 2018,Cam kết ngoại bảng tạingày 31 tháng 12 năm 2018,85.873.342,-,85.873.342,85873342.0,,85873342.0
