row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,354.161,364.435,354161.0,364435.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,1.499,,1499.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,876.077,661.141,876077.0,661141.0
,,,1.230.238,1.027.075,1230238.0,1027075.0
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh 33),Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh 33),Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh 33),(83.606),(10.274),-83606.0,-10274.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành) (Thuyết minh 33),Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành) (Thuyết minh 33),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành) (Thuyết minh 33),-,(1.499),,-1499.0
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh 13),Số trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh 13),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh 13),84.806,221.146,84806.0,221146.0
,,,1.200,209.373,1200.0,209373.0
Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,,
Chứng khoán đầu tư sẵn sàng để bán,Số dự phòng đã sử dụng để xử lý rủi ro > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,(237.741),-,-237741.0,
Trái phiếu đặc biệt do VAMC phát hành,Số dự phòng đã sử dụng để xử lý rủi ro > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,(44.993),(6.210),-44993.0,-6210.0
,,,(282.734),(6.210),-282734.0,-6210.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,32.814,354.161,32814.0,354161.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,-,,
Trái phiếu đặc biệt do VAMC phát hành,Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành) > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,915.890,876.077,915890.0,876077.0
,,,948.704,1.230.238,948704.0,1230238.0
