row_label_raw,row_label_full,col_0,Số cuối năm > Mệnh giáTriệu đồng,Số cuối năm > Giá trị ghi sốTriệu đồng,Số đầu năm > Mệnh giáTriệu đồng,Số đầu năm > Giá trị ghi sốTriệu đồng,numeric__Số cuối năm > Mệnh giáTriệu đồng,numeric__Số cuối năm > Giá trị ghi sốTriệu đồng,numeric__Số đầu năm > Mệnh giáTriệu đồng,numeric__Số đầu năm > Giá trị ghi sốTriệu đồng
Trái phiếu do các TCKTtrong nước phát hành,Trái phiếu do các TCKTtrong nước phát hành,Trái phiếu do các TCKTtrong nước phát hành,Trái phiếu do các TCKTtrong nước phát hành,Trái phiếu do các TCKTtrong nước phát hành,Trái phiếu do các TCKTtrong nước phát hành,Trái phiếu do các TCKTtrong nước phát hành,,,,
- Công ty cổ phần Vinpearl,Trái phiếu do các TCKTtrong nước phát hành > - Công ty cổ phần Vinpearl,- Công ty cổ phần Vinpearl,800.000,800.000,-,-,800000.0,800000.0,,
- Công ty TNHH Thươngmại Quảng cáo Xây dựngĐịa Óc Việt Hân,Trái phiếu do các TCKTtrong nước phát hành > - Công ty TNHH Thươngmại Quảng cáo Xây dựngĐịa Óc Việt Hân,- Công ty TNHH Thươngmại Quảng cáo Xây dựngĐịa Óc Việt Hân,400.000,400.000,400.000,400.000,400000.0,400000.0,400000.0,400000.0
,,,,1.200.000,,400.000,,1200000.0,,400000.0
