row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,466.874,155.948,191.719,253.728,10.203,1.078.472,466874.0,155948.0,191719.0,253728.0,10203.0,1078472.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,9.982,9.177,74.293,25.052,600,119.104,9982.0,9177.0,74293.0,25052.0,600.0,119104.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(2.584),(11.590),(11.099),(333),(51),(25.657),-2584.0,-11590.0,-11099.0,-333.0,-51.0,-25657.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,474.272,153.535,254.913,278.447,10.752,1.171.919,474272.0,153535.0,254913.0,278447.0,10752.0,1171919.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,83.356,123.802,121.099,216.145,7.622,552.024,83356.0,123802.0,121099.0,216145.0,7622.0,552024.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,17.726,11.143,20.992,24.618,967,75.446,17726.0,11143.0,20992.0,24618.0,967.0,75446.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.185),(11.402),(10.824),(316),(51),(24.778),-2185.0,-11402.0,-10824.0,-316.0,-51.0,-24778.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,98.897,123.543,131.267,240.447,8.538,602.692,98897.0,123543.0,131267.0,240447.0,8538.0,602692.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,383.518,32.146,70.620,37.583,2.581,526.448,383518.0,32146.0,70620.0,37583.0,2581.0,526448.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,375.375,29.992,123.646,38.000,2.214,569.227,375375.0,29992.0,123646.0,38000.0,2214.0,569227.0
