row_label_raw,row_label_full,col_0,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,Thời hạn định lại lãi suất_7,Thời hạn định lại lãi suất_8,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6,numeric__Thời hạn định lại lãi suất_7,numeric__Thời hạn định lại lãi suất_8
,,,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.096.395,-,-,-,-,-,-,2.096.395,,2096395.0,,,,,,,2096395.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,5.385.604,-,-,-,-,-,5.385.604,,,5385604.0,,,,,,5385604.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,27.822.204,4.603.340,-,-,-,-,32.425.544,,,27822204.0,4603340.0,,,,,32425544.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,2.603.376,-,-,-,-,-,-,2.603.376,,2603376.0,,,,,,,2603376.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,208.294,-,-,-,-,-,-,208.294,,208294.0,,,,,,,208294.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.484.701,-,6.360.598,104.800.221,2.102.261,3.728.509,2.655.358,-,123.131.648,3484701.0,,6360598.0,104800221.0,2102261.0,3728509.0,2655358.0,,123131648.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,62.259,2.421.821,2.228.118,3.123.103,3.259.773,10.902.833,16.277.208,5.368.502,43.643.617,62259.0,2421821.0,2228118.0,3123103.0,3259773.0,10902833.0,16277208.0,5368502.0,43643617.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,185.117,-,-,-,-,-,-,185.117,,185117.0,,,,,,,185117.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.615.456,-,-,-,-,-,-,1.615.456,,1615456.0,,,,,,,1615456.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,51.955,-,-,-,-,-,-,51.955,,51955.0,,,,,,,51955.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,43.891,3.474.328,841.030,1.150.335,868.672,552.187,134.707,136,7.065.286,43891.0,3474328.0,841030.0,1150335.0,868672.0,552187.0,134707.0,136.0,7065286.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.590.851,12.656.742,42.637.554,113.676.999,6.230.706,15.183.529,19.067.273,5.368.638,218.412.292,3590851.0,12656742.0,42637554.0,113676999.0,6230706.0,15183529.0,19067273.0,5368638.0,218412292.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,7.753.272,158.611,-,-,-,-,7.911.883,,,7753272.0,158611.0,,,,,7911883.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,35.018.481,2.075.800,-,742.610,2.736.420,115.950,40.689.261,,,35018481.0,2075800.0,,742610.0,2736420.0,115950.0,40689261.0
