row_label_raw,row_label_full,Chỉ tiêu > Số đầu năm,Quỹ đầu tư phát triển Triệu đồng > 70,Quỹ dự phòng tài chính Triệu đồng > 361.111,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng > 47.816,Quỹ khác thuộc vốn chủ sở hữu Triệu đồng > 44.711,Tổng cộng Triệu đồng > 453.708,numeric__Quỹ đầu tư phát triển Triệu đồng > 70,numeric__Quỹ dự phòng tài chính Triệu đồng > 361.111,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng > 47.816,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu đồng > 44.711,numeric__Tổng cộng Triệu đồng > 453.708
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,203.582,102.687,20.000,326.269,,203582.0,102687.0,20000.0,326269.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(4.177),(4.177),,,,-4177.0,-4177.0
Số cuối năm,Số cuối năm,Số cuối năm,70,564.693,150.503,60.534,775.800,70.0,564693.0,150503.0,60534.0,775800.0
