row_label_raw,row_label_full,col_0,Dự phòng cụ thể Triệu đồng,Dự phòng chung Triệu đồng,Tổng cộng Triệu đồng,numeric__Dự phòng cụ thể Triệu đồng,numeric__Dự phòng chung Triệu đồng,numeric__Tổng cộng Triệu đồng
Số đầu năm,Số đầu năm,Số đầu năm,3.201,-,3.201,3201.0,,3201.0
Số trích lập trong năm (Thuyết minh 13),Số trích lập trong năm (Thuyết minh 13),Số trích lập trong năm (Thuyết minh 13),1.052,-,1.052,1052.0,,1052.0
Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,(379),-,(379),-379.0,,-379.0
Số cuối năm,Số cuối năm,Số cuối năm,3.874,-,3.874,3874.0,,3874.0
