row_label_raw,row_label_full,Tăng vốn cổ phần từ phát hành cổ phiếu,Tăng vốn cổ phần từ phát hành cổ phiếu_1,Tăng vốn cổ phần từ phát hành cổ phiếu_2,Tăng vốn cổ phần từ phát hành cổ phiếu_3,numeric__Tăng vốn cổ phần từ phát hành cổ phiếu_1,numeric__Tăng vốn cổ phần từ phát hành cổ phiếu_2,numeric__Tăng vốn cổ phần từ phát hành cổ phiếu_3
"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia","Cổ tức đã trả cho cổ đông, lợi nhuận đã chia","Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",,(1.275.284),3.018.656(150.000),,-1275284.0,
Tiền thuần (sử dụng vào)/từ hoạt động tài chính,Tiền thuần (sử dụng vào)/từ hoạt động tài chính,Tiền thuần (sử dụng vào)/từ hoạt động tài chính,,(1.275.284),2.868.656,,-1275284.0,2868656.0
Tiền thuần trong năm,Tiền thuần trong năm,Tiền thuần trong năm,,14.268.108,2.583.694,,14268108.0,2583694.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,37,25.189.053,22.605.359,37.0,25189053.0,22605359.0
Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,37,39.457.161,25.189.053,37.0,39457161.0,25189053.0
