row_label_raw,row_label_full,col_0,Năm trước(Số liệuđã trình bày)Triệu đồng,Phân loại lạiTriệu đồng,Năm trước(Phân loại lại)Triệu đồng,numeric__Năm trước(Số liệuđã trình bày)Triệu đồng,numeric__Phân loại lạiTriệu đồng,numeric__Năm trước(Phân loại lại)Triệu đồng
LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhậptrương tự nhận được,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi và các khoản thu nhậptrương tự nhận được,Thu nhập lãi và các khoản thu nhậptrương tự nhận được,15.053.877,(324.818),14.729.059,15053877.0,-324818.0,14729059.0
"Chi phí lãi và các chi phí tương tự đã trảChênh lệch số tiền thực thu từ hoạt độngkinh doanh chứng khoán, vàng bạc, ngoạitệ","LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi và các chi phí tương tự đã trảChênh lệch số tiền thực thu từ hoạt độngkinh doanh chứng khoán, vàng bạc, ngoạitệ","Chi phí lãi và các chi phí tương tự đã trảChênh lệch số tiền thực thu từ hoạt độngkinh doanh chứng khoán, vàng bạc, ngoạitệ",(8.378.071),352.342,(8.025.729),-8378071.0,352342.0,-8025729.0
,,,604.363,(27.524),576.839,604363.0,-27524.0,576839.0
