row_label_raw,row_label_full,col_0,Hoạt động môi giới bất động sản,Hoạt động chuyển nhượng bất động sản,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động môi giới bất động sản,numeric__Hoạt động chuyển nhượng bất động sản,numeric__Hoạt động cho thuê văn phòng và khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,238.424.861.987,479.263.277.747,34.784.576.173,752.472.715.907,238424861987.0,479263277747.0,34784576173.0,752472715907.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,162.897.080.063,445.763.154.980,19.252.314.763,627.912.549.806,162897080063.0,445763154980.0,19252314763.0,627912549806.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,75.527.781.924,33.500.122.767,15.532.261.410,124.560.166.101,75527781924.0,33500122767.0,15532261410.0,124560166101.0
