row_label_raw,row_label_full,Tên công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty Cổ phần Bất động sản Cen Sài Gòn,- Công ty Cổ phần Bất động sản Cen Sài Gòn,- Công ty Cổ phần Bất động sản Cen Sài Gòn,Thành phố Hồ Chí Minh,80%,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê. Tư vấn, môi giới, quản lý, quảng cáo bất động sản.",,0.8,
- Công ty TNHH Cen Prime,- Công ty TNHH Cen Prime,- Công ty TNHH Cen Prime,Thành phố Hà Nội,100%,Môi giới bất động sản; sàn giao dịch bất động sản; tư vấn và quản lý bất động sản; tư vấn quản lý; dịch vụ hỗ trợ tài chính.,,1.0,
- Công ty TNHH Quản lý Đối tác Liên kết Cen,- Công ty TNHH Quản lý Đối tác Liên kết Cen,- Công ty TNHH Quản lý Đối tác Liên kết Cen,Thành phố Hà Nội,100%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,1.0,
- Công ty Cổ phần Cen Cuckoo,- Công ty Cổ phần Cen Cuckoo,- Công ty Cổ phần Cen Cuckoo,Thành phố Hà Nội,100%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,1.0,
- Công ty Cổ phần Cen Academy,- Công ty Cổ phần Cen Academy,- Công ty Cổ phần Cen Academy,Thành phố Hà Nội,56%,"Đào tạo, bồi dưỡng kiến thức hành nghề môi giới bất động sản.",,0.56,
- Công ty Cổ phần Cen HCM (**),- Công ty Cổ phần Cen HCM (**),- Công ty Cổ phần Cen HCM (**),Thành phố Hồ Chí Minh,94%,"Kinh doanh bất động sản, dịch vụ bất động sản; xây dựng; kinh doanh nhà hàng và các dịch vụ liên quan khác.",,0.94,
- Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phố Xanh Group (***),- Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phố Xanh Group (***),- Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phố Xanh Group (***),Thành phố Hà Nội,51%,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê. Tư vấn, môi giới, quản lý, quảng cáo bất động sản.",,0.51,
