row_label_raw,row_label_full,Ông Nguyễn Đức Vui,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Thành viên,(Bổ nhiệm ngày 27/04/2023),,
Ông Vương Văn Tường,Ông Vương Văn Tường,Ông Vương Văn Tường,Thành viên,Hết nhiệm kỳ 2018-2023 tại ngày 27/4/2023; và không tham gia nhiệm kỳ mới 2023-2028,,
