row_label_raw,row_label_full,-,"Công nợ phải thu, đặt cọc:",950.739.963.786,1.017.742.832.645,"numeric__Công nợ phải thu, đặt cọc:",numeric__950.739.963.786,numeric__1.017.742.832.645
+,+,+,Phải thu Công ty Cổ phần Hồng Lam Xuân Thành tiền môi giới sản phẩm bất động sản thuộc dự án Hoa Tiên Paradise (thuyết minh số 05),21.673.536.359,89.946.709,,21673536359.0,89946709.0
+,+,+,Đặt cọc cho Công ty Cổ phần Hồng Lam Xuân Thành mua sản phẩm bất động sản thuộc dự án Hoa Tiên Paradise (thuyết minh số 08 ghi chú (1)),254.268.689.153,500.000.000.000,,254268689153.0,500000000000.0
+,+,+,Phải thu Công ty Cổ phần Hồng Lam Xuân Thành về việc trả lại bất động sản thuộc dự án Hoa Tiên Paradise (thuyết minh số 08 ghi chú (7)),168.486.489.023,-,,168486489023.0,
+,+,+,Đặt cọc cho Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ mua sản phẩm bất động sản thuộc dự án Hoa Tiên Paradise (thuyết minh số 08 ghi chú (10)),506.311.249.251,517.652.885.936,,506311249251.0,517652885936.0
-,-,-,Công nợ phải trả: phải trả khách hàng đặt cọc mua các sản phẩm bất động sản thuộc dự án Hoa Tiên Paradise (thuyết minh số 21)(2.2) Số dư các khoản mục liên quan đến dự án Trinity Tower như sau:,9.536.302.410,16.102.610.606,,9536302410.0,16102610606.0
-,-,-,Công nợ ứng trước: Trả trước cho Hợp tác xã Thành Công về việc mua các sản phẩm bất động sản thuộc dự án Trinity Tower (chi tiết tại thuyết minh số 06),61.413.506.042,130.896.125.852,,61413506042.0,130896125852.0
-,-,-,Công nợ phải trả: Phải trả khách hàng đặt cọc mua các sản phẩm bất động sản thuộc dự án Trinity Tower (thuyết minh số 21)(2.3) Số dư các khoản mục liên quan đến dự án Khu biệt thụ và vui chơi giải trí Đại Lãi như sau:,582.854.318,80.799.284.853,,582854318.0,80799284853.0
-,-,-,"Công nợ phải thu, đặt cọc:",412.143.970.942,494.644.084.142,,412143970942.0,494644084142.0
+,+,+,Đặt cọc cho Công ty Cổ phần Đầu tư Xây dựng và Thương mại Nhật Hằng mua sản phẩm bất động sản thuộc dự án Khu biệt thụ và vui chơi giải trí Đại Lãi (thuyết minh số 08 ghi chú (13)),357.143.970.942,439.644.084.142,,357143970942.0,439644084142.0
+,+,+,Đặt cọc cho Công ty Cổ phần Paradise Đại Lãi về việc mua sản phẩm bất động sản thuộc dự án Khu biệt thụ và vui chơi giải trí Đại Lãi (thuyết minh số 08 ghi chú (3)),55.000.000.000,55.000.000.000,,55000000000.0,55000000000.0
