row_label_raw,row_label_full,(*) Hàng hóa bất động sản bao gồm:,(*) Hàng hóa bất động sản bao gồm:_1,31/12/2023,01/01/2023,numeric__(*) Hàng hóa bất động sản bao gồm:_1,numeric__31/12/2023,numeric__01/01/2023
,,,,VND,VND,,,
(1) Hàng hóa bất động sản:,(1) Hàng hóa bất động sản:,(1) Hàng hóa bất động sản:,(1) Hàng hóa bất động sản:,3.600.000.000,3.600.000.000,,3600000000.0,3600000000.0
+,+,+,Căn A1508 - dự án Sky,3.600.000.000,3.600.000.000,,3600000000.0,3600000000.0
(2) Quyền định đoạt tài sản hình thành trong tương lai:,(2) Quyền định đoạt tài sản hình thành trong tương lai:,(2) Quyền định đoạt tài sản hình thành trong tương lai:,(2) Quyền định đoạt tài sản hình thành trong tương lai:,495.932.316.963,393.224.068.576,,495932316963.0,393224068576.0
+,+,+,Dự án C-Sky View,16.548.052.566,33.633.846.129,,16548052566.0,33633846129.0
+,+,+,Dự án Hoa Tiên Paradise (2.1),23.459.567.967,135.652.646.769,,23459567967.0,135652646769.0
+,+,+,Dự án tòa nhà Hợp tác xã Thành Công (Dự án Trinity Tower)(2.2),13.339.294.108,3.563.414.596,,13339294108.0,3563414596.0
+,+,+,"Dự án Nhà ở cao tầng, kết hợp dịch vụ thương mại Summit Building",8.717.615.444,8.717.615.444,,8717615444.0,8717615444.0
+,+,+,Dự án Kim Chung Di Trạch,35.243.395.362,65.702.831.287,,35243395362.0,65702831287.0
+,+,+,Dự án Lotus Central,1.624.566.727,9.552.723.845,,1624566727.0,9552723845.0
+,+,+,Dự án Hud Mê Linh,90.153.685.053,127.015.238.506,,90153685053.0,127015238506.0
+,+,+,Dự án Khu biệt thư và vui chơi giải trí Đại Lải (2.3),9.385.752.000,9.385.752.000,,9385752000.0,9385752000.0
+,+,+,Dự án Eco Central Park,40.593.056.682,-,,40593056682.0,
+,+,+,DA Đại Lải Paradise,236.127.306.773,-,,236127306773.0,
+,+,+,DA Bình Minh Garden cao tầng,20.740.024.281,-,,20740024281.0,
,,,,499.532.316.963,396.824.068.576,,499532316963.0,396824068576.0
