row_label_raw,row_label_full,col_0,01/01/2023 > Giá trịVND,01/01/2023 > Giá gốcVND,Trong nam > TăngVND,Trong nam > GiảmVND,31/12/2023 > Giá trịVND,31/12/2023 > Giá gốcVND,numeric__01/01/2023 > Giá trịVND,numeric__01/01/2023 > Giá gốcVND,numeric__Trong nam > TăngVND,numeric__Trong nam > GiảmVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Giá gốcVND
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,484.995.883.962,484.995.883.962,1.101.525.471.262,1.272.898.303.403,313.623.051.821,313.623.051.821,484995883962.0,484995883962.0,1101525471262.0,1272898303403.0,313623051821.0,313623051821.0
Ngân hàng TMCP Công thương Việt Nam,a) Vay ngắn hạn > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,21.781.676.199,21.781.676.199,14.112.560.729,35.894.236.928,-,-,21781676199.0,21781676199.0,14112560729.0,35894236928.0,,
Ngân hàng BIDV - Chi nhánh Thái Hà (vay thầu chi),a) Vay ngắn hạn > Ngân hàng BIDV - Chi nhánh Thái Hà (vay thầu chi),Ngân hàng BIDV - Chi nhánh Thái Hà (vay thầu chi),74.970.000.000,74.970.000.000,592.649.999.996,667.619.999.996,-,-,74970000000.0,74970000000.0,592649999996.0,667619999996.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,a) Vay ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,283.387.176.161,283.387.176.161,261.363.970.300,459.834.054.615,84.917.091.846,84.917.091.846,283387176161.0,283387176161.0,261363970300.0,459834054615.0,84917091846.0,84917091846.0
Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa,a) Vay ngắn hạn > Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa,Ngân hàng TMCP Quân Đội - Chi nhánh Đống Đa,9.877.348.394,9.877.348.394,190.030.995.675,13.202.384.094,186.705.959.975,186.705.959.975,9877348394.0,9877348394.0,190030995675.0,13202384094.0,186705959975.0,186705959975.0
Ngân hàng TMCP Indovina- Chi nhánh Thiên long,a) Vay ngắn hạn > Ngân hàng TMCP Indovina- Chi nhánh Thiên long,Ngân hàng TMCP Indovina- Chi nhánh Thiên long,-,-,42.000.000.000,-,42.000.000.000,42.000.000.000,,,42000000000.0,,42000000000.0,42000000000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,a) Vay ngắn hạn > Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,94.979.683.208,94.979.683.208,1.367.944.562,96.347.627.770,-,-,94979683208.0,94979683208.0,1367944562.0,96347627770.0,,
- Nợ dài hạn đến hạn trả,a) Vay ngắn hạn > - Nợ dài hạn đến hạn trả,- Nợ dài hạn đến hạn trả,-,-,1.836.000.000,918.000.000,918.000.000,918.000.000,,,1836000000.0,918000000.0,918000000.0,918000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,a) Vay ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,-,-,1.836.000.000,918.000.000,918.000.000,918.000.000,,,1836000000.0,918000000.0,918000000.0,918000000.0
