row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Phương tiện vận tải, truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Phương tiện vận tải, truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.479.910.561,52.294.424.947,15.967.096.715,184.741.432.223,116479910561.0,52294424947.0,15967096715.0,184741432223.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,972.094.000,972.094.000,,,972094000.0,972094000.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(7.127.571.273),-,(7.127.571.273),,-7127571273.0,,-7127571273.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,45.166.853.674,16.939.190.715,178.585.954.950,116479910561.0,45166853674.0,16939190715.0,178585954950.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.988.106.848,20.402.368.987,12.602.435.101,49.992.910.936,16988106848.0,20402368987.0,12602435101.0,49992910936.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,5.278.555.277,5.455.720.259,1.800.532.503,12.534.808.039,5278555277.0,5455720259.0,1800532503.0,12534808039.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(4.253.175.522),-,(4.253.175.522),,-4253175522.0,,-4253175522.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.266.662.125,21.604.913.724,14.402.967.604,58.274.543.453,22266662125.0,21604913724.0,14402967604.0,58274543453.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,99.491.803.713,31.892.055.960,3.364.661.614,134.748.521.287,99491803713.0,31892055960.0,3364661614.0,134748521287.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,94.213.248.436,23.561.939.950,2.536.223.111,120.311.411.497,94213248436.0,23561939950.0,2536223111.0,120311411497.0
