row_label_raw,row_label_full,Mã,CHỈ TIÊU,Thuyết minh,Năm 2023,Năm 2022,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2023,numeric__Năm 2022
,,,,,VND,VND,,,,
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,25,844.993.497.421,3.295.917.900.525,,25.0,844993497421.0,3295917900525.0
02,02,02,2. Các khoản giảm trừ doanh thu,26,92.520.781.514,193.996.698.113,,26.0,92520781514.0,193996698113.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,27,752.472.715.907,3.101.921.202.412,,27.0,752472715907.0,3101921202412.0
11,11,11,4. Giá vốn hàng bán,28,627.912.549.806,2.388.414.505.400,,28.0,627912549806.0,2388414505400.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,124.560.166.101,713.506.697.012,,,124560166101.0,713506697012.0
21,21,21,6. Doanh thu hoạt động tài chính,29,54.788.487.675,104.269.117.481,,29.0,54788487675.0,104269117481.0
22,22,22,7. Chi phí tài chính,30,86.121.697.564,145.291.149.741,,30.0,86121697564.0,145291149741.0
23,23,23,Trong đó: Chi phí lãi vay,,86.121.697.564,145.291.149.741,,,86121697564.0,145291149741.0
25,25,25,8. Chi phí bán hàng,31,16.064.315.927,231.193.113.161,,31.0,16064315927.0,231193113161.0
26,26,26,9. Chi phí quản lý doanh nghiệp,32,69.082.591.351,201.903.675.017,,32.0,69082591351.0,201903675017.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,8.080.048.934,239.387.876.574,,,8080048934.0,239387876574.0
31,31,31,11. Thu nhập khác,33,7.268.509.543,8.999.794.584,,33.0,7268509543.0,8999794584.0
32,32,32,12. Chi phí khác,34,4.481.271.340,10.119.375.372,,34.0,4481271340.0,10119375372.0
40,40,40,13. Lợi nhuận khác,,2.787.238.203,(1.119.580.788),,,2787238203.0,-1119580788.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,10.867.287.137,238.268.295.786,,,10867287137.0,238268295786.0
51,51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,35,2.711.822.546,49.295.826.995,,35.0,2711822546.0,49295826995.0
52,52,52,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,,
60,52 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,8.155.464.591,188.972.468.791,,,8155464591.0,188972468791.0
