row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.015.995.570.000,149.799.450.000,36.000.000.000,(1.080.000),89.988.738.351,998.777.857.051,3.290.560.535.402,2015995570000.0,149799450000.0,36000000000.0,-1080000.0,89988738351.0,998777857051.0,3290560535402.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,2.015.994.490.000,-,-,-,-,-,2.015.994.490.000,2015994490000.0,,,,,,2015994490000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,188.972.468.791,188.972.468.791,,,,,,188972468791.0,188972468791.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(32.058.776.064),(32.058.776.064),,,,,,-32058776064.0,-32058776064.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,22.899.125.760,(22.899.125.760),-,,,,,22899125760.0,-22899125760.0,
Tăng khác,Tăng khác,Tăng khác,-,(550.000),-,-,-,475.130.264,474.580.264,,-550000.0,,,,475130264.0,474580264.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.031.990.060.000,149.798.900.000,36.000.000.000,(1.080.000),112.887.864.111,1.133.267.554.282,5.463.943.298.393,4031990060000.0,149798900000.0,36000000000.0,-1080000.0,112887864111.0,1133267554282.0,5463943298393.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.636.785.340.000,149.798.900.000,36.000.000.000,(1.080.000),112.887.864.111,528.472.274.282,5.463.943.298.393,4636785340000.0,149798900000.0,36000000000.0,-1080000.0,112887864111.0,528472274282.0,5463943298393.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,8.155.464.591,8.155.464.591,,,,,,8155464591.0,8155464591.0
Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,-,19.088.724.975,(32.450.832.457),(13.362.107.482),,,,,19088724975.0,-32450832457.0,-13362107482.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,19.088.724.975,(19.088.724.975),-,,,,,19088724975.0,-19088724975.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(13.362.107.482),(13.362.107.482),,,,,,-13362107482.0,-13362107482.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(26.920.144),(26.920.144),,,,,,-26920144.0,-26920144.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.636.785.340.000,149.798.900.000,36.000.000.000,(1.080.000),131.976.589.086,504.149.986.272,5.458.709.735.358,4636785340000.0,149798900000.0,36000000000.0,-1080000.0,131976589086.0,504149986272.0,5458709735358.0
