row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty Cổ phần Đầu tư Bắt động sản Tân Trí,Công ty Cổ phần Đầu tư Bắt động sản Tân Trí,Công ty Cổ phần Đầu tư Bắt động sản Tân Trí,Công ty con,Cung cấp dịch vụ,5.982.742.833,5.129.826.432,,,5982742833.0,5129826432.0
Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty con,Cung cấp dịch vụ,3.877.555.921,1.661.230.471,,,3877555921.0,1661230471.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Cung cấp dịch vụ,1.592.212.743,875.115.503,,,1592212743.0,875115503.0
Công ty Cổ phần Đầu tư và quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và quản lý khách sạn Văn Phú,Công ty con,Cung cấp dịch vụ,1.404.133.163,908.406.521,,,1404133163.0,908406521.0
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,"Công ty con đến ngày 3 tháng 1 năm 2024, công ty cùng lãnh đạo chủ chốt đến ngày 1 tháng 2 năm 2024",Cung cấp dịch vụ,-,33.380.799.051,,,,33380799051.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Bên liên quan khác,Cung cấp dịch vụ,1.634.807.695,302.342.602,,,1634807695.0,302342602.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,14.491.452.355,42.257.720.580,,,14491452355.0,42257720580.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),,,,
Công ty Cổ phần Union Success Việt Nam,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Union Success Việt Nam,Công ty Cổ phần Union Success Việt Nam,Công ty con,Phải thu về cho vay (*),93.175.000.000,450.000.000.000,,,93175000000.0,450000000000.0
Công ty Cổ phần Đầu tư Grand Home,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Phải thu về cho vay (*),69.800.000.000,75.600.000.000,,,69800000000.0,75600000000.0
Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty con,Phải thu về cho vay (*),28.250.000.000,-,,,28250000000.0,
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,191.225.000.000,525.600.000.000,,,191225000000.0,525600000000.0
