row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm > Tỷ lệ vốnnấm giữ trựctiếp (%),Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),Số đầu năm > Tỷ lệ vốn nấmgiữ trực tiếp(%),Số đầu năm > Tỷ lệquyền biểuquyết (%),numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm > Tỷ lệ vốnnấm giữ trựctiếp (%),numeric__Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),numeric__Số đầu năm > Tỷ lệ vốn nấmgiữ trực tiếp(%),numeric__Số đầu năm > Tỷ lệquyền biểuquyết (%)
Công ty Cổ phần Đầu tư vàPhát triển Thương mại VănPhú,Công ty Cổ phần Đầu tư vàPhát triển Thương mại VănPhú,Công ty Cổ phần Đầu tư vàPhát triển Thương mại VănPhú,"Tầng 1-4, tòa V1 The Van Phu Victoria, CT9,Khu đô thị Văn Phú, Phường Phúc La, Quận HàĐồng, Thành phố Hà Nội",Kinh doanh bất độngsản,"35,00","35,00","35,00","35,00",,,35.0,35.0,35.0,35.0
Công ty Cổ phần Đầu tưPhong Phú,Công ty Cổ phần Đầu tưPhong Phú,Công ty Cổ phần Đầu tưPhong Phú,"Số 36 Đường 31 A, Phường An Phú, Thành phốThủ Đức, Thành phố Hồ Chí Minh",Kinh doanh bất độngsản,"30,00","30,00","30,00","30,00",,,30.0,30.0,30.0,30.0
Công ty Cổ phần Đầu tưBOT Hà Nội – Bắc Giang,Công ty Cổ phần Đầu tưBOT Hà Nội – Bắc Giang,Công ty Cổ phần Đầu tưBOT Hà Nội – Bắc Giang,"Số 14, lỗ B1, Khu đô thị mới Nam Từ Sơn,Phường Phù Chẩn, Thành phố Từ Sơn, Tĩnh BắcNinh",Xây dựng và thu phíđường bộ,"33,00","33,00","33,00","33,00",,,33.0,33.0,33.0,33.0
Công ty Cổ phần Đầu tư HàPhú Riverland,Công ty Cổ phần Đầu tư HàPhú Riverland,Công ty Cổ phần Đầu tư HàPhú Riverland,"Số 90 Đường Phan Trung, KP 7, Phường TânTiến, Thành phố Biên Hoà, Tĩnh Đồng Nai",Kinh doanh bất độngsản,"30,00","30,00","30,00","30,00",,,30.0,30.0,30.0,30.0
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,"Số 12, đường Khuất Duy Tiến, Phường ThanhXuẩn Trung, Quận Thanh Xuân, Thành phố HàNội",Xây dựng công trìnhkỹ thuật dân dụng,"51,07","50,00","51,07","50,00",,,51.07,50.0,51.07,50.0
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,"Số 83, đường Hào Nam, Phường Ô Chợ Dừa,Quận Đồng Đa, Thành phố Hà Nội",Xây dựng và in ấn,"46,77","46,77","46,77","46,77",,,46.77,46.77,46.77,46.77
Công ty Cổ phần LogisticsLSH,Công ty Cổ phần LogisticsLSH,Công ty Cổ phần LogisticsLSH,"Lô B17, đường Ngọc Hân Công Chúa, PhườngVõ Cường, Thành phố Bắc Ninh, Tĩnh Bắc Ninh",Kinh doanh bất độngsản,"34,00","34,00","34,00","34,00",,,34.0,34.0,34.0,34.0
