row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,22.1,135.323.858.207,135.323.858.207,330.217.625.462,(290.383.545.310),175.157.938.359,175.157.938.359,221.0,135323858207.0,135323858207.0,330217625462.0,-290383545310.0,175157938359.0,175157938359.0
Vay đổi tượng khác,Vay ngắn hạn > Vay đổi tượng khác,Vay đổi tượng khác,22.3,28.900.000.000,28.900.000.000,81.257.499.988,-,110.157.499.988,110.157.499.988,223.0,28900000000.0,28900000000.0,81257499988.0,,110157499988.0,110157499988.0
Trái phiếu phát hành dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu phát hành dài hạn đến hạn trả,Trái phiếu phát hành dài hạn đến hạn trả,22.4,402.981.832.373,402.981.832.373,241.251.120.185,(403.900.000.000),240.332.952.558,240.332.952.558,224.0,402981832373.0,402981832373.0,241251120185.0,-403900000000.0,240332952558.0,240332952558.0
Vay ngân hàng dài hạn đến hạn trả,Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,22.2,688.292.248.410,688.292.248.410,253.442.003.015,(714.999.523.233),226.734.728.192,226.734.728.192,222.0,688292248410.0,688292248410.0,253442003015.0,-714999523233.0,226734728192.0,226734728192.0
Trái phiếu chuyển đổi đến hạn trả,Vay ngắn hạn > Trái phiếu chuyển đổi đến hạn trả,Trái phiếu chuyển đổi đến hạn trả,22.5,731.140.249.737,731.140.249.737,67.621.000.251,(798.761.249.988),-,-,225.0,731140249737.0,731140249737.0,67621000251.0,-798761249988.0,,
Vay đổi tượng khác dài hạn đến hạn trả,Vay ngắn hạn > Vay đổi tượng khác dài hạn đến hạn trả,Vay đổi tượng khác dài hạn đến hạn trả,22.3,-,-,33.150.000.000,-,33.150.000.000,33.150.000.000,223.0,,,33150000000.0,,33150000000.0,33150000000.0
Vay ngân hạn bên liên quan,Vay ngắn hạn > Vay ngân hạn bên liên quan,Vay ngân hạn bên liên quan,30,-,-,7.040.000.000,-,7.040.000.000,7.040.000.000,30.0,,,7040000000.0,,7040000000.0,7040000000.0
,,,,1.986.638.188.727,1.986.638.188.727,1.013.979.248.901,(2.208.044.318.531),792.573.119.097,792.573.119.097,,1986638188727.0,1986638188727.0,1013979248901.0,-2208044318531.0,792573119097.0,792573119097.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,22.2,639.854.630.168,639.854.630.168,41.590.984.488,(372.658.279.781),308.787.334.875,308.787.334.875,222.0,639854630168.0,639854630168.0,41590984488.0,-372658279781.0,308787334875.0,308787334875.0
Vay đổi tượng khác,Vay dài hạn > Vay đổi tượng khác,Vay đổi tượng khác,22.3,583.950.000.000,583.950.000.000,34.235.000.000,(590.270.000.000),27.915.000.000,27.915.000.000,223.0,583950000000.0,583950000000.0,34235000000.0,-590270000000.0,27915000000.0,27915000000.0
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,22.4,240.933.626.278,240.933.626.278,1.037.615.936.935,(242.832.952.558),1.035.716.610.655,1.035.716.610.655,224.0,240933626278.0,240933626278.0,1037615936935.0,-242832952558.0,1035716610655.0,1035716610655.0
,,,,1.464.738.256.446,1.464.738.256.446,1.113.441.921.423,(1.205.761.232.339),1.372.418.945.530,1.372.418.945.530,,1464738256446.0,1464738256446.0,1113441921423.0,-1205761232339.0,1372418945530.0,1372418945530.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,3.451.376.445.173,3.451.376.445.173,2.127.421.170.324,(3.413.805.550.870),2.164.992.064.627,2.164.992.064.627,,3451376445173.0,3451376445173.0,2127421170324.0,-3413805550870.0,2164992064627.0,2164992064627.0
