row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8)
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Phải thu lãi cho vay,17.951.619.868,8.801.983.563,,,17951619868.0,8801983563.0
Công ty Cổ phần Union Success Việt Nam,Công ty Cổ phần Union Success Việt Nam,Công ty Cổ phần Union Success Việt Nam,Công ty con,Phải thu lãi cho vay,14.744.825.151,572.054.795,,,14744825151.0,572054795.0
Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty con,Phải thu lãi cho vay,2.049.849.317,9.041.097,,,2049849317.0,9041097.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải thu về chỉ hộ,300.000.000,-,,,300000000.0,
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải thu lãi cho vay,361.780,-,,,361780.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,35.046.656.116,9.383.079.455,,,35046656116.0,9383079455.0
Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),,,,
Công ty Cổ phần Đầu tư Phong Phú,Phải thu dài hạn khác(Thuyết minh số 8) > Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty liên kết,Đặt cọc góp vốn hợp tác đầu tư (i),352.617.690.000,352.617.690.000,,,352617690000.0,352617690000.0
Công ty Cổ phần Văn Phú - Bắc Ái,Phải thu dài hạn khác(Thuyết minh số 8) > Công ty Cổ phần Văn Phú - Bắc Ái,Công ty Cổ phần Văn Phú - Bắc Ái,Công ty con,Vốn góp theo huy động để thực hiện đầu tư (ii),300.517.271.665,148.867.271.665,,,300517271665.0,148867271665.0
Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Phải thu dài hạn khác(Thuyết minh số 8) > Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty con,Đặt cọc góp vốn hợp tác đầu tư (iii),100.000.000.000,100.000.000.000,,,100000000000.0,100000000000.0
TỔNG CỘNG,Phải thu dài hạn khác(Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,753.134.961.665,601.484.961.665,,,753134961665.0,601484961665.0
