row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Quân Đội - Chi nhánh Điện Biên Phủ > Ngân hàng TMCP Việt Nam Thịnh Vương - Hội sở chính,Số cuối năm (VND) > 284.250.334.875 > 125.067.728.191,Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 10 năm 2036. Lãi được thanh toán 3 tháng/lần. > Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2023 đến tháng 3 năm 2025. Lãi được thanh toán hàng tháng.,"Lãi suất/năm > 8,8% > 11,1% - 11,8%",Hình thức đảm bảo > (iii) > (ii),numeric__Số cuối năm (VND) > 284.250.334.875 > 125.067.728.191,numeric__Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 10 năm 2036. Lãi được thanh toán 3 tháng/lần. > Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2023 đến tháng 3 năm 2025. Lãi được thanh toán hàng tháng.,"numeric__Lãi suất/năm > 8,8% > 11,1% - 11,8%",numeric__Hình thức đảm bảo > (iii) > (ii)
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,125.067.728.191,,,,125067728191.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vương - Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vương - Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vương - Hội sở chính,73.607.000.000,Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2024 đến tháng 4 năm 2026. Lãi được thanh toán hàng tháng.,"11,8%",(iv),73607000000.0,,0.11800000000000001,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,49.070.000.000,,,,49070000000.0,,,
Ngân hàng TMCP Bắc Á - Chi nhánh Hà Nội,Ngân hàng TMCP Bắc Á - Chi nhánh Hà Nội,Ngân hàng TMCP Bắc Á - Chi nhánh Hà Nội,52.597.000.001,Gốc được thanh toán 3 tháng 1 lần từ tháng 5 năm 2024 đến tháng 8 năm 2025. Lãi được thanh toán 3 tháng/lần.,"11,45%",(v),52597000001.0,,0.11449999999999999,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,52.597.000.001,,,,52597000001.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,535.522.063.067,,,,535522063067.0,,,
Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,226.734.728.192308.787.334.875,,,,2.267347281923088e+23,,,
