row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Phần mềm máy tính,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,7.866.152.682,7866152682.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.802.877.072,1802877072.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,9.669.029.754,9669029754.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,3.110.752.171,3110752171.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,1.487.139.369,1487139369.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,4.597.891.540,4597891540.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,4.755.400.511,4755400511.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,5.071.138.214,5071138214.0
