row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bất động sản,Ngắn hạn > Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,32.341.683.815,11.627.039.257,32341683815.0,11627039257.0
Phải thu từ hoạt động khác,Ngắn hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,118.850.573.110,67.759.694.537,118850573110.0,67759694537.0
- Công ty TNHH MTV Đầu tư Hùng Sơn,Ngắn hạn > - Công ty TNHH MTV Đầu tư Hùng Sơn,- Công ty TNHH MTV Đầu tư Hùng Sơn,76.250.937.921,33.380.799.051,76250937921.0,33380799051.0
- Phải thu khách hàng khác,Ngắn hạn > - Phải thu khách hàng khác,- Phải thu khách hàng khác,42.599.635.189,34.378.895.486,42599635189.0,34378895486.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,151.192.256.925,79.386.733.794,151192256925.0,79386733794.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),14.491.452.355,42.257.720.580,14491452355.0,42257720580.0
Phải thu ngắn hạn từ các bên khác,Trong đó: > Phải thu ngắn hạn từ các bên khác,Phải thu ngắn hạn từ các bên khác,136.700.804.570,37.129.013.214,136700804570.0,37129013214.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,Dài hạn > Phải thu từ hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,Phải thu từ hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,3.378.885.790,11.976.673.775,3378885790.0,11976673775.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.378.885.790,11.976.673.775,3378885790.0,11976673775.0
Dự phòng phải thu ngắn hạn khó đòi,Dài hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(21.718.695.257),(21.718.695.257),-21718695257.0,-21718695257.0
