row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi,Số cuối năm > 690.000.000.000,Đơn vị tính: VND > Số đầu năm > 690.000.000.000,numeric__Số cuối năm > 690.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 690.000.000.000
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,(1.302.228.818),(1.302.228.818),-1302228818.0,-1302228818.0
Cấu phần vốn chủ sở hữu,Cấu phần vốn chủ sở hữu,Cấu phần vốn chủ sở hữu,(72.397.227.865),(72.397.227.865),-72397227865.0,-72397227865.0
Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,(18.099.306.966),(18.099.306.966),-18099306966.0,-18099306966.0
Cấu phần nợ gốc ghi nhận ban đầu,Cấu phần nợ gốc ghi nhận ban đầu,Cấu phần nợ gốc ghi nhận ban đầu,598.201.236.351,598.201.236.351,598201236351.0,598201236351.0
Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,,
Số đầu năm,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Số đầu năm,Số đầu năm,132.939.013.386,65.449.149.073,132939013386.0,65449149073.0
Lãi vay nhập gốc,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Lãi vay nhập gốc,Lãi vay nhập gốc,38.036.250.000,36.225.000.000,38036250000.0,36225000000.0
Số phân bổ trong năm,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Số phân bổ trong năm,Số phân bổ trong năm,29.584.750.251,31.264.864.313,29584750251.0,31264864313.0
Số cuối năm,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Số cuối năm,Số cuối năm,200.560.013.637,132.939.013.386,200560013637.0,132939013386.0
Cấu phần nợ gốc tại thời điểm chuyển đổi,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Cấu phần nợ gốc tại thời điểm chuyển đổi,Cấu phần nợ gốc tại thời điểm chuyển đổi,798.761.249.988,731.140.249.737,798761249988.0,731140249737.0
Chuyển đổi thành cổ phiếu phổ thông,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Chuyển đổi thành cổ phiếu phổ thông,Chuyển đổi thành cổ phiếu phổ thông,(798.761.249.988),-,-798761249988.0,
Cấu phần nợ gốc sau khi chuyển đổi,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Cấu phần nợ gốc sau khi chuyển đổi,Cấu phần nợ gốc sau khi chuyển đổi,-,731.140.249.737,,731140249737.0
