row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số đầu năm,Số đầu năm,2.419.996.170.000,-,72.397.227.865,15.177.859.740,7.588.929.869,906.358.748.766,3.421.518.936.240,2419996170000.0,,72397227865.0,15177859740.0,7588929869.0,906358748766.0,3421518936240.0
- Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,607.106.020.641,607.106.020.641,,,,,,607106020641.0,607106020641.0
- Chia cổ tức bằng tiền,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > - Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,-,-,(241.999.617.000),(241.999.617.000),,,,,,-241999617000.0,-241999617000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số cuối năm,Số cuối năm,2.419.996.170.000,-,72.397.227.865,15.177.859.740,7.588.929.869,1.271.465.152.407,3.786.625.339.881,2419996170000.0,,72397227865.0,15177859740.0,7588929869.0,1271465152407.0,3786625339881.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số đầu năm,Số đầu năm,2.419.996.170.000,-,72.397.227.865,15.177.859.740,7.588.929.869,1.271.465.152.407,3.786.625.339.881,2419996170000.0,,72397227865.0,15177859740.0,7588929869.0,1271465152407.0,3786625339881.0
- Tăng do phát hành cổ phiếu trả cổ tức (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Tăng do phát hành cổ phiếu trả cổ tức (i),- Tăng do phát hành cổ phiếu trả cổ tức (i),483.997.680.000,-,-,-,-,(483.997.680.000),-,483997680000.0,,,,,-483997680000.0,
- Tăng do phát hành cổ phiếu để chuyển đổi trái phiếu chuyển đổi (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Tăng do phát hành cổ phiếu để chuyển đổi trái phiếu chuyển đổi (ii),- Tăng do phát hành cổ phiếu để chuyển đổi trái phiếu chuyển đổi (ii),296.501.920.000,574.656.557.853,(72.397.227.865),-,-,-,798.761.249.988,296501920000.0,574656557853.0,-72397227865.0,,,,798761249988.0
- Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,360.656.361.270,360.656.361.270,,,,,,360656361270.0,360656361270.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số cuối năm,Số cuối năm,3.200.495.770.000,574.656.557.853,-,15.177.859.740,7.588.929.869,1.148.123.833.677,4.946.042.951.139,3200495770000.0,574656557853.0,,15177859740.0,7588929869.0,1148123833677.0,4946042951139.0
