row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Báo cáo kết quả hoạt động kinh doanh riêng,numeric__Báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế thu nhập hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,499.356.600,2.773.648.649,(2.274.292.049),2.324.057.607,499356600.0,2773648649.0,-2274292049.0,2324057607.0
Chi phí lãi vay được vốn hóa theo biên bản thanh tra thuế,Tài sản thuế thu nhập hoãn lại > Chi phí lãi vay được vốn hóa theo biên bản thanh tra thuế,Chi phí lãi vay được vốn hóa theo biên bản thanh tra thuế,14.422.892.501,-,14.422.892.501,-,14422892501.0,,14422892501.0,
Chi phí tư vấn,Tài sản thuế thu nhập hoãn lại > Chi phí tư vấn,Chi phí tư vấn,4.754.712.935,7.319.562.848,(2.564.849.913),1.431.562.848,4754712935.0,7319562848.0,-2564849913.0,1431562848.0
,,,19.676.962.036,10.093.211.497,,,19676962036.0,10093211497.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế thu nhập hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(6.175.062.259),(10.265.985.499),4.090.923.240,4.462.436.555,-6175062259.0,-10265985499.0,4090923240.0,4462436555.0
Chi phí lãi trái phiếu chuyển đổi,Thuế thu nhập hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,-,(5.844.471.989),5.844.471.989,6.166.236.819,,-5844471989.0,5844471989.0,6166236819.0
,,,(6.175.062.259),(16.110.457.488),,,-6175062259.0,-16110457488.0,,
Tài sản thuế thu nhập hoãn lại/(Thuế thu nhập hoãn lại phải trả) thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại/(Thuế thu nhập hoãn lại phải trả) thuần,Tài sản thuế thu nhập hoãn lại/(Thuế thu nhập hoãn lại phải trả) thuần,13.501.899.777,(6.017.245.991),,,13501899777.0,-6017245991.0,,
Thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,Thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,,,19.519.145.768,14.384.293.829,,,19519145768.0,14384293829.0
