row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Năm nay > Cổ tức đã công bố và đã trả trong năm,Đơn vị tính: VND > Năm trước > Cổ tức đã công bố và đã trả trong năm,numeric__Năm nay > Cổ tức đã công bố và đã trả trong năm,numeric__Đơn vị tính: VND > Năm trước > Cổ tức đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức trả bằng tiền cho năm 2022: 1.000,Cổ tức trả bằng tiền cho năm 2022: 1.000,Cổ tức trả bằng tiền cho năm 2022: 1.000,Cổ tức trả bằng tiền cho năm 2022: 1.000,Cổ tức trả bằng tiền cho năm 2022: 1.000,,
VND/cổ phiếu,Cổ tức trả bằng tiền cho năm 2022: 1.000 > VND/cổ phiếu,VND/cổ phiếu,-,241.999.617.000,,241999617000.0
Cổ tức trả bằng cổ phiếu cho năm 2023:,Cổ tức trả bằng cổ phiếu cho năm 2023:,Cổ tức trả bằng cổ phiếu cho năm 2023:,Cổ tức trả bằng cổ phiếu cho năm 2023:,Cổ tức trả bằng cổ phiếu cho năm 2023:,,
2 cổ phiếu/10 cổ phiếu hiện hữu,Cổ tức trả bằng cổ phiếu cho năm 2023: > 2 cổ phiếu/10 cổ phiếu hiện hữu,2 cổ phiếu/10 cổ phiếu hiện hữu,483.997.680.000,-,483997680000.0,
