row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,37.612.595.867,(9.258.799.584),28.353.796.283,,37612595867.0,-9258799584.0,28353796283.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,594.216.361,10.622.170.830,(9.703.843.652),1.512.543.539,594216361.0,10622170830.0,-9703843652.0,1512543539.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,522.705.000,46.185.603.551,(19.710.151.500),26.998.157.051,522705000.0,46185603551.0,-19710151500.0,26998157051.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,26.556.182,5.057.279.974,(5.083.836.156),-,26556182.0,5057279974.0,-5083836156.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,1.143.477.543,99.477.650.222,(43.756.630.892),56.864.496.873,1143477543.0,99477650222.0,-43756630892.0,56864496873.0
,,,Số đầu năm,Số phải thu trong năm,Số đã bù trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,16.942.893.872,28.349.387.988,(45.207.937.438),84.344.422,16942893872.0,28349387988.0,-45207937438.0,84344422.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.390.520.398,-,(9.390.520.398),-,9390520398.0,,-9390520398.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,26.333.414.270,28.349.387.988,(54.598.457.836),84.344.422,26333414270.0,28349387988.0,-54598457836.0,84344422.0
