row_label_raw,row_label_full,Lãi từ chuyển nhượng khoản đầu tư (Thuyết minh số 17.1),Năm nay > 295.000.000.000,Đơn vị tính: VND > Năm trước > -,numeric__Năm nay > 295.000.000.000,numeric__Đơn vị tính: VND > Năm trước > -
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",74.599.654.505,87.069.608.842,74599654505.0,87069608842.0
Lợi nhuận được chia từ hợp đồng hợp tác đầu tư (Thuyết minh số 8),Lợi nhuận được chia từ hợp đồng hợp tác đầu tư (Thuyết minh số 8),Lợi nhuận được chia từ hợp đồng hợp tác đầu tư (Thuyết minh số 8),72.692.219.178,-,72692219178.0,
Cổ tức và lợi nhuận được chia,Cổ tức và lợi nhuận được chia,Cổ tức và lợi nhuận được chia,700.000.000,760.291.015.108,700000000.0,760291015108.0
Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,16.276.187,21.556.786,16276187.0,21556786.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,443.008.149.870,847.382.180.736,443008149870.0,847382180736.0
