row_label_raw,row_label_full,col_0,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất/năm,Hình thứcđảm báo,numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất/năm,numeric__Hình thứcđảm báo
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Tư vấn Đầu tư Xây dựngBắc Ái,Ngắn hạn > Công ty Cổ phần Tư vấn Đầu tư Xây dựngBắc Ái,Công ty Cổ phần Tư vấn Đầu tư Xây dựngBắc Ái,28.900.000.000,Gốc và lãi vay đáo hạn vào tháng 12 năm 2025.,"9,3%",Tín chấp,28900000000.0,,0.09300000000000001,
Các cá nhân,Ngắn hạn > Các cá nhân,Các cá nhân,81.257.499.988,Kỳ hạn trả gốc và lãi là 12 tháng theo từng hợpđồng. Hợp đồng cuối cùng đáo hạn tháng 12 năm2025.,12%,Tín chấp,81257499988.0,,0.12,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,110.157.499.988,,,,110157499988.0,,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Các cá nhân,Dài hạn > Các cá nhân,Các cá nhân,61.065.000.000,Kỳ hạn trả gốc và lãi là 24 tháng theo từng hợpđồng. Hợp đồng cuối cùng đáo hạn tháng 12 năm2026.,"10,5% - 12%",Tín chấp,61065000000.0,,,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,61.065.000.000,,,,61065000000.0,,,
Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Dài hạn > Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,33.150.000.00027.915.000.000,,,,3.315000000027915e+21,,,
