row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,"Nhà cửa, vật kiến trúc và máy móc thiết bị",
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,350.478.849.678,350478849678.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,350.478.849.678,350478849678.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,22.910.717.098,22910717098.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.527.324.332,11527324332.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,34.438.041.430,34438041430.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,327.568.132.580,327568132580.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,316.040.808.248,316040808248.0
