row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tàiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tàiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,148.336.281.191,246.779.952.344,35.721.529.707,103.980.936.100,534.818.699.342,148336281191.0,246779952344.0,35721529707.0,103980936100.0,534818699342.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,8.774.948.708,53.292.474.412,753.590.000,11.862.308.047,74.683.321.167,8774948708.0,53292474412.0,753590000.0,11862308047.0,74683321167.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),-,-,-,1.143.927.180,1.143.927.180,,,,1143927180.0,1143927180.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.832.689.336),-,(349.071.628),(10.181.760.964),,-9832689336.0,,-349071628.0,-10181760964.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,157.111.229.899,290.239.737.420,36.475.119.707,116.638.099.699,600.464.186.725,157111229899.0,290239737420.0,36475119707.0,116638099699.0,600464186725.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,44.009.455.073,164.055.774.011,19.227.447.153,43.698.788.752,270.991.464.989,44009455073.0,164055774011.0,19227447153.0,43698788752.0,270991464989.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.398.762.243,30.645.705.981,4.205.978.061,15.966.926.692,58.217.372.977,7398762243.0,30645705981.0,4205978061.0,15966926692.0,58217372977.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.688.489.562),-,(300.393.851),(9.988.883.413),,-9688489562.0,,-300393851.0,-9988883413.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,51.408.217.316,185.012.990.430,23.433.425.214,59.365.321.593,319.219.954.553,51408217316.0,185012990430.0,23433425214.0,59365321593.0,319219954553.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,104.326.826.118,82.724.178.333,16.494.082.554,60.282.147.348,263.827.234.353,104326826118.0,82724178333.0,16494082554.0,60282147348.0,263827234353.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,105.703.012.583,105.226.746.990,13.041.694.493,57.272.778.106,281.244.232.172,105703012583.0,105226746990.0,13041694493.0,57272778106.0,281244232172.0
