row_label_raw,row_label_full,col_0,Tại ngày1.1.2020VND,Số (phải thu)/phải nộptrong nămVND,Số đã thực nộptrong nămVND,Cán trừtrong nămVND,Tại ngày31.12.2020VND,numeric__Tại ngày1.1.2020VND,numeric__Số (phải thu)/phải nộptrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Cán trừtrong nămVND,numeric__Tại ngày31.12.2020VND
VAT,VAT,VAT,52.394.562.292,397.778.470.052,(395.281.749.600),(7.562.941.245),47.328.341.499,52394562292.0,397778470052.0,-395281749600.0,-7562941245.0,47328341499.0
BIT,BIT,BIT,128.390.517.466,279.422.477.414,(253.134.374.354),-,154.678.620.526,128390517466.0,279422477414.0,-253134374354.0,,154678620526.0
PIT,PIT,PIT,7.327.960.887,68.192.663.155,(67.386.905.677),-,8.133.718.365,7327960887.0,68192663155.0,-67386905677.0,,8133718365.0
Khác,Khác,Khác,4.569.630.533,1.769.679.870,(1.769.679.870),-,4.569.630.533,4569630533.0,1769679870.0,-1769679870.0,,4569630533.0
,,,192.682.671.178,747.163.290.491,(717.572.709.501),(7.562.941.245),214.710.310.923,192682671178.0,747163290491.0,-717572709501.0,-7562941245.0,214710310923.0
