row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2020VND,Tại ngày 31 tháng 12 năm > 2019VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2020VND,numeric__Tại ngày 31 tháng 12 năm > 2019VND
300,300,300,NỘ PHẢI TRÀ,,3.241.284.233.443,4.025.698.610.469,,,3241284233443.0,4025698610469.0
310,310,310,Nợ ngắn hạn,,3.231.907.356.443,4.017.860.824.469,,,3231907356443.0,4017860824469.0
311,311,311,Phải trả người bán ngắn hạn,12,481.588.464.720,690.808.185.195,,12.0,481588464720.0,690808185195.0
312,312,312,Người mua trả tiền trước ngắn hạn,13,157.182.968.364,95.353.052.369,,13.0,157182968364.0,95353052369.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,14,214.710.310.923,192.682.671.178,,14.0,214710310923.0,192682671178.0
314,314,314,Phải trả người lao động,15,290.765.645.610,222.296.091.737,,15.0,290765645610.0,222296091737.0
315,315,315,Chỉ phí phải trả ngắn hạn,16,55.520.256.916,45.877.630.688,,16.0,55520256916.0,45877630688.0
319,319,319,Phải trả ngắn hạn khác,17,76.978.636.900,69.257.739.996,,17.0,76978636900.0,69257739996.0
320,320,320,Vay ngắn hạn,18(a),1.839.275.064.065,2.610.902.622.222,,,1839275064065.0,2610902622222.0
322,322,322,"Quỹ khen thưởng, phúc lợi",19,115.886.008.945,90.682.831.084,,19.0,115886008945.0,90682831084.0
330,330,330,Nợ dài hạn,,9.376.877.000,7.837.786.000,,,9376877000.0,7837786000.0
337,337,337,Phải trả dài hạn khác,,526.168.000,476.006.000,,,526168000.0,476006000.0
338,338,338,Vay dài hạn,18(b),-,3.700.000.000,,,,3700000000.0
342,342,342,Dự phòng phải trả dài hạn,20,8.850.709.000,3.661.780.000,,20.0,8850709000.0,3661780000.0
400,400,400,VỐN CHỦ SỞ HỮU,,5.241.861.865.008,4.577.265.811.347,,,5241861865008.0,4577265811347.0
410,410,410,Vốn chủ sở hữu,,5.241.861.865.008,4.577.265.811.347,,,5241861865008.0,4577265811347.0
411,411,411,Vốn góp của chủ sở hữu,"22, 23",2.276.123.620.000,2.252.935.850.000,,,2276123620000.0,2252935850000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.276.123.620.000,2.252.935.850.000,,,2276123620000.0,2252935850000.0
412,412,412,Thặng dư vốn cổ phần,23,991.261.882.458,968.074.112.458,,23.0,991261882458.0,968074112458.0
415,415,415,Cổ phiếu quỹ,23,(3.384.090.000),(2.101.090.000),,23.0,-3384090000.0,-2101090000.0
418,418,418,Quỹ đầu tư phát triển,23,372.779.556.918,313.083.556.918,,23.0,372779556918.0,313083556918.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",23,1.605.080.895.632,1.045.273.381.971,,23.0,1605080895632.0,1045273381971.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,670.845.205.971,29.482.225.528,,,670845205971.0,29482225528.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,934.235.689.661,1.015.791.156.443,,,934235689661.0,1015791156443.0
440,440,440,TỔNG NGUỒN VỐN,,8.483.146.098.451,8.602.964.421.816,,,8483146098451.0,8602964421816.0
