row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Thương hiệu VND,Mối quan hệ khách hàng VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Thương hiệu VND,numeric__Mối quan hệ khách hàng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,12.487.500.000,5.120.524.039,205.464.758.322,122.877.276.845,345.950.059.206,12487500000.0,5120524039.0,205464758322.0,122877276845.0,345950059206.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,1.650.000.000,-,-,1.650.000.000,,1650000000.0,,,1650000000.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,(2.810.682.089),-,-,(2.810.682.089),,-2810682089.0,,,-2810682089.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.487.500.000,3.959.841.950,205.464.758.322,122.877.276.845,344.789.377.117,12487500000.0,3959841950.0,205464758322.0,122877276845.0,344789377117.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,3.345.611.879,46.429.152.475,15.999.645.424,65.774.409.778,,3345611879.0,46429152475.0,15999645424.0,65774409778.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,486.134.516,23.297.886.912,7.679.829.804,31.463.851.232,,486134516.0,23297886912.0,7679829804.0,31463851232.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,(2.435.924.472),-,-,(2.435.924.472),,-2435924472.0,,,-2435924472.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,1.395.821.923,69.727.039.387,23.679.475.228,94.802.336.538,,1395821923.0,69727039387.0,23679475228.0,94802336538.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.487.500.000,1.774.912.160,159.035.605.847,106.877.631.421,280.175.649.428,12487500000.0,1774912160.0,159035605847.0,106877631421.0,280175649428.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.487.500.000,2.564.020.027,135.737.718.935,99.197.801.617,249.987.040.579,12487500000.0,2564020027.0,135737718935.0,99197801617.0,249987040579.0
