row_label_raw,row_label_full,col_0,Mã số,2023 VND,2022 VND,numeric__Mã số,numeric__2023 VND,numeric__2022 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi mua, xây dựng tài sản cố địnhvà tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua, xây dựng tài sản cố địnhvà tài sản dài hạn khác","Tiền chi mua, xây dựng tài sản cố địnhvà tài sản dài hạn khác",21,(257.285.199.898),(667.447.010.750),21.0,-257285199898.0,-667447010750.0
Tiền thu từ thanh lý tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,4.000.140.589,189.661.415.395,22.0,4000140589.0,189661415395.0
Tiền chi cho vay và gửi tiền gửi ngân hàngcó kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay và gửi tiền gửi ngân hàngcó kỳ hạn,Tiền chi cho vay và gửi tiền gửi ngân hàngcó kỳ hạn,23,(325.000.000.000),(4.475.200.000.000),23.0,-325000000000.0,-4475200000000.0
Tiền thu hồi khoản cho vay và rút tiền gửingân hàng có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi khoản cho vay và rút tiền gửingân hàng có kỳ hạn,Tiền thu hồi khoản cho vay và rút tiền gửingân hàng có kỳ hạn,24,616.272.420.206,4.089.350.000.000,24.0,616272420206.0,4089350000000.0
Đầu tư vào một công ty con (đã trừ đi số dư tiềncủa công ty con được mua),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Đầu tư vào một công ty con (đã trừ đi số dư tiềncủa công ty con được mua),Đầu tư vào một công ty con (đã trừ đi số dư tiềncủa công ty con được mua),25,-,122.625.191.339,25.0,,122625191339.0
"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia","Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",27,38.270.371.361,220.828.078.678,27.0,38270371361.0,220828078678.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,76.257.732.258,(520.182.325.338),30.0,76257732258.0,-520182325338.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"Tiền thu từ phát hành cổ phiếu, trừ đi chi phíphát hành","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu, trừ đi chi phíphát hành","Tiền thu từ phát hành cổ phiếu, trừ đi chi phíphát hành",31,-,8.619.580.000,31.0,,8619580000.0
