row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,377.348.552.492,25.119.090.223,3.218.698.829,405.686.341.544,377348552492.0,25119090223.0,3218698829.0,405686341544.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(25.119.090.223),(3.218.698.829),(28.337.789.052),,-25119090223.0,-3218698829.0,-28337789052.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,377.348.552.492,-,-,377.348.552.492,377348552492.0,,,377348552492.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,41.233.306.785,12.801.278.670,2.341.537.502,56.376.122.957,41233306785.0,12801278670.0,2341537502.0,56376122957.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.231.254.111,670.330.865,154.194.723,26.055.779.699,25231254111.0,670330865.0,154194723.0,26055779699.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(13.471.609.535),(2.495.732.225),(15.967.341.760),,-13471609535.0,-2495732225.0,-15967341760.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,66.464.560.896,-,-,66.464.560.896,66464560896.0,,,66464560896.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,336.115.245.707,12.317.811.553,877.161.327,349.310.218.587,336115245707.0,12317811553.0,877161327.0,349310218587.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,310.883.991.596,-,-,310.883.991.596,310883991596.0,,,310883991596.0
