row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích kinh tế/quyền biểu quyết,Tỷ lệ lợi ích kinh tế/quyền biểu quyết_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Tỷ lệ lợi ích kinh tế/quyền biểu quyết,numeric__Tỷ lệ lợi ích kinh tế/quyền biểu quyết_1
STT,STT,STT,Tên công ty,Hoạt động chính,Trụ sở,31/12/2023,1/1/2023,,,,,
Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,,,,,
1,Các công ty con sở hữu trực tiếp > 1,1,Công ty TNHH MNS Meat (“MNS Meat”),"(*)Tur vấn quản lý đầu tư (trừ tư vấn tài chính, kế toán và pháp luật)","(Trong khuôn viên Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế)Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tinh Đồng Nai, Việt Nam","99,99%","99,99%",,,,0.9998999999999999,0.9998999999999999
2,Các công ty con sở hữu trực tiếp > 2,2,Công ty Cổ phần 3F VIỆT (“3F VIỆT”),Chăn nuôi gia cầm,"Tầng 10, Tòa nhà Central Plaza,17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","51,00%","51,00%",,,,0.51,0.51
3,Các công ty con sở hữu trực tiếp > 3,3,Công ty TNHH MML Farm Nghệ An (“Farm Nghệ An”),Chăn nuôi heo và sản xuất giống lợn,"Xóm Côn Sơn, Xã Hạ Sơn, Huyện Quỳ Hợp, Tinh Nghệ An, Việt Nam","100,00%","100,00%",,,,1.0,1.0
4,Các công ty con sở hữu trực tiếp > 4,4,Công ty TNHH MEATDeli HN (“Meat Hà Nam”),"Chế biến, bảo quản thịt và các sản phẩm từ thịt","Lô CN-02, Khu Công nghiệp Đồng Văn IV, Xã Đại Cương, Huyện Kim Bàng, Tinh Hà Nam, Việt Nam","100,00%","100,00%",,,,1.0,1.0
5,Các công ty con sở hữu trực tiếp > 5,5,Công ty Cổ phần Masan Jinju (“MSJ”),"(**)Chế biến, bảo quản thịt và các sản phẩm từ thịt","Nhà xuống F5, Lô 6, Khu Công nghiệp Tân Đông Hiệp A, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tinh Bình Dương, Việt Nam","74,99%","74,99%",,,,0.7498999999999999,0.7498999999999999
