row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển và truyền dẫn VND,Thiết bị văn phòng VND,Heo giống VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển và truyền dẫn VND,numeric__Thiết bị văn phòng VND,numeric__Heo giống VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.287.801.254.561,2.053.675.701.837,78.535.823.665,36.156.899.493,1.407.855.177,5.457.577.534.733,3287801254561.0,2053675701837.0,78535823665.0,36156899493.0,1407855177.0,5457577534733.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,14.163.401.753,14.201.509.531,50.253.880,4.871.855.000,-,33.287.020.164,14163401753.0,14201509531.0,50253880.0,4871855000.0,,33287020164.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,25.119.090.223,3.218.698.829,-,-,28.337.789.052,,25119090223.0,3218698829.0,,,28337789052.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,1.796.252.690,142.206.413.443,-,356.700.000,9.860.898.359,154.220.264.492,1796252690.0,142206413443.0,,356700000.0,9860898359.0,154220264492.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(602.483.627),(193.400.000),-,-,-,(795.883.627),-602483627.0,-193400000.0,,,,-795883627.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(7.520.428.999),(731.500.000),(8.608.151.656),-,(1.486.227.342),(18.346.307.997),-7520428999.0,-731500000.0,-8608151656.0,,-1486227342.0,-18346307997.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.295.637.996.378,2.234.277.815.034,73.196.624.718,41.385.454.493,9.782.526.194,5.654.280.416.817,3295637996378.0,2234277815034.0,73196624718.0,41385454493.0,9782526194.0,5654280416817.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,376.279.407.186,297.898.889.410,24.284.420.802,18.266.671.266,616.646.578,717.346.035.242,376279407186.0,297898889410.0,24284420802.0,18266671266.0,616646578.0,717346035242.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,136.465.214.711,191.459.057.958,8.279.247.557,7.484.079.539,2.229.204.490,345.916.804.255,136465214711.0,191459057958.0,8279247557.0,7484079539.0,2229204490.0,345916804255.0
Chuyển từ tài sản cố định hữu hình thuê tài chính và phân loại lại,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình thuê tài chính và phân loại lại,Chuyển từ tài sản cố định hữu hình thuê tài chính và phân loại lại,-,13.806.410.012,2.160.931.748,-,-,15.967.341.760,,13806410012.0,2160931748.0,,,15967341760.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(5.493.544.900),(244.752.983),(4.645.409.081),-,(769.616.857),(11.153.323.821),-5493544900.0,-244752983.0,-4645409081.0,,-769616857.0,-11153323821.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,507.251.076.997,502.919.604.397,30.079.191.026,25.750.750.805,2.076.234.211,1.068.076.857.436,507251076997.0,502919604397.0,30079191026.0,25750750805.0,2076234211.0,1068076857436.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.911.521.847.375,1.755.776.812.427,54.251.402.863,17.890.228.227,791.208.599,4.740.231.499.491,2911521847375.0,1755776812427.0,54251402863.0,17890228227.0,791208599.0,4740231499491.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.788.386.919.381,1.731.358.210.637,43.117.433.692,15.634.703.688,7.706.291.983,4.586.203.559.381,2788386919381.0,1731358210637.0,43117433692.0,15634703688.0,7706291983.0,4586203559381.0
