row_label_raw,row_label_full,col_0,Trang trại,Trang trại_1,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Trang trại,numeric__Trang trại_1,numeric__Thịt và các sản phẩm từ thịt,numeric__Thịt và các sản phẩm từ thịt_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2023VND,1/1/2023VND,31/12/2023VND,1/1/2023VND,31/12/2023VND,1/1/2023VND,31/12/2023VND,1/1/2023VND,,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.906.116.372.949,2.886.118.886.729,4.571.117.966.715,5.351.368.399.765,-,-,7.477.234.339.664,8.237.487.286.494,2906116372949.0,2886118886729.0,4571117966715.0,5351368399765.0,,,7477234339664.0,8237487286494.0
Đầu tư vào một công ty liên kết,Đầu tư vào một công ty liên kết,Đầu tư vào một công ty liên kết,-,-,2.126.162.912.542,2.135.490.172.000,-,-,2.126.162.912.542,2.135.490.172.000,,,2126162912542.0,2135490172000.0,,,2126162912542.0,2135490172000.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,3.129.399.419.924,2.973.411.375.049,,,,,,,3129399419924.0,2973411375049.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,12.732.796.672.130,13.346.388.833.543,,,,,,,12732796672130.0,13346388833543.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.056.443.374.735,1.185.036.958.350,4.469.570.310.546,4.714.789.885.522,-,-,5.526.013.685.281,5.899.826.843.872,1056443374735.0,1185036958350.0,4469570310546.0,4714789885522.0,,,5526013685281.0,5899826843872.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,2.123.145.510.753,1.823.060.298.354,,,,,,,2123145510753.0,1823060298354.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,7.649.159.196.034,7.722.887.142.226,,,,,,,7649159196034.0,7722887142226.0
,,,2023VND,2022VND,2023VND,2022VND,2023VND,2022VND,2023VND,2022VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,64.495.765.555,112.257.307.689,192.789.434.343,555.189.703.061,-,-,257.285.199.898,667.447.010.750,64495765555.0,112257307689.0,192789434343.0,555189703061.0,,,257285199898.0,667447010750.0
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,173.456.781.943,168.585.043.994,257.609.732.863,168.236.618.116,-,-,431.066.514.806,336.821.662.110,173456781943.0,168585043994.0,257609732863.0,168236618116.0,,,431066514806.0,336821662110.0
