row_label_raw,row_label_full,col_0,Loại tiên,Lãi suất năm,Năm đáo hạn,31/12/2023 VND,1/1/2023 VND,numeric__Loại tiên,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2023 VND,numeric__1/1/2023 VND
Vay ngân hàng có đảm bảo,Vay ngân hàng có đảm bảo,Vay ngân hàng có đảm bảo,Vay ngân hàng có đảm bảo,Vay ngân hàng có đảm bảo,Vay ngân hàng có đảm bảo,Vay ngân hàng có đảm bảo,Vay ngân hàng có đảm bảo,,,,,
Khoản vay 1 (*),Vay ngân hàng có đảm bảo > Khoản vay 1 (*),Khoản vay 1 (*),VND,"7,48% - 9,93%",2026,516.016.044.630,745.356.508.910,,,2026.0,516016044630.0,745356508910.0
Khoản vay 2 (*),Vay ngân hàng có đảm bảo > Khoản vay 2 (*),Khoản vay 2 (*),VND,"6,50% - 7,50%",2027,395.059.581.118,298.458.697.365,,,2027.0,395059581118.0,298458697365.0
Khoản vay 3,Vay ngân hàng có đảm bảo > Khoản vay 3,Khoản vay 3,VND,"12,50%",2028,369.534.504.234,-,,0.125,2028.0,369534504234.0,
Khoản vay 4 (*),Vay ngân hàng có đảm bảo > Khoản vay 4 (*),Khoản vay 4 (*),VND,"7,23% - 7,30%",2027,221.965.088.750,-,,,2027.0,221965088750.0,
Khoản vay 5 (*),Vay ngân hàng có đảm bảo > Khoản vay 5 (*),Khoản vay 5 (*),VND,"6,50% - 7,50%",2027,138.300.188.180,104.482.705.856,,,2027.0,138300188180.0,104482705856.0
Khoản vay 6,Vay ngân hàng có đảm bảo > Khoản vay 6,Khoản vay 6,VND,"8,50% - 9,70%",2028,17.809.285.990,10.864.642.996,,,2028.0,17809285990.0,10864642996.0
Khoản vay 7,Vay ngân hàng có đảm bảo > Khoản vay 7,Khoản vay 7,VND,"7,70% - 9,00%",2026,3.300.000.000,4.500.000.000,,,2026.0,3300000000.0,4500000000.0
Khoản vay 8,Vay ngân hàng có đảm bảo > Khoản vay 8,Khoản vay 8,VND,"7,53% - 9,40%",2027,-,360.842.107.931,,,2027.0,,360842107931.0
Khoản vay 9,Vay ngân hàng có đảm bảo > Khoản vay 9,Khoản vay 9,VND,"10,20%",2023,-,196.000.000.000,,0.102,2023.0,,196000000000.0
Khoản vay 10,Vay ngân hàng có đảm bảo > Khoản vay 10,Khoản vay 10,VND,"8,00% - 11,00%",2028,-,11.208.116.025,,,2028.0,,11208116025.0
Khoản vay 11,Vay ngân hàng có đảm bảo > Khoản vay 11,Khoản vay 11,VND,"3,85%",2023,-,3.400.000.000,,0.0385,2023.0,,3400000000.0
Vay ngân hàng không đảm bảo,Vay ngân hàng không đảm bảo,Vay ngân hàng không đảm bảo,Vay ngân hàng không đảm bảo,Vay ngân hàng không đảm bảo,Vay ngân hàng không đảm bảo,Vay ngân hàng không đảm bảo,Vay ngân hàng không đảm bảo,,,,,
Khoản vay 12,Vay ngân hàng không đảm bảo > Khoản vay 12,Khoản vay 12,VND,"7,10% - 7,27%",2024,4.733.576.622,4.733.576.622,,,2024.0,4733576622.0,4733576622.0
Khoản vay 13,Vay ngân hàng không đảm bảo > Khoản vay 13,Khoản vay 13,VND,"8,10%",2024,-,18.934.306.480,,0.081,2024.0,,18934306480.0
,,,,,,1.666.718.269.524,1.758.780.662.185,,,,1666718269524.0,1758780662185.0
