row_label_raw,row_label_full,col_0,2023VND,2022VND,numeric__2023VND,numeric__2022VND
Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,(541.754.431.196),(236.041.687.274),-541754431196.0,-236041687274.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,(108.350.886.239),(47.208.337.455),-108350886239.0,-47208337455.0
Ảnh hưởng của các mức thuế suất khác củacác công ty con,Ảnh hưởng của các mức thuế suất khác củacác công ty con,Ảnh hưởng của các mức thuế suất khác củacác công ty con,24.223.384.898,(59.293.073.162),24223384898.0,-59293073162.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,1.779.635.812,1.091.196.374,1779635812.0,1091196374.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(977.869.260),(84.783.157.374),-977869260.0,-84783157374.0
Biến động tài sản thuế thu nhập hoãn lại chưa đượcghi nhận (*),Biến động tài sản thuế thu nhập hoãn lại chưa đượcghi nhận (*),Biến động tài sản thuế thu nhập hoãn lại chưa đượcghi nhận (*),80.572.829.049,184.979.735.977,80572829049.0,184979735977.0
Xóa số tài sản thuế thu nhập hoãn lại,Xóa số tài sản thuế thu nhập hoãn lại,Xóa số tài sản thuế thu nhập hoãn lại,1.207.005.306,2.959.205.825,1207005306.0,2959205825.0
Ảnh hưởng của phần lãi trong một công ty liên kết,Ảnh hưởng của phần lãi trong một công ty liên kết,Ảnh hưởng của phần lãi trong một công ty liên kết,(354.350.968),-,-354350968.0,
Dự phòng thừa trong những năm trước,Dự phòng thừa trong những năm trước,Dự phòng thừa trong những năm trước,-,(28.300.000),,-28300000.0
,,,(1.900.251.402),(2.282.729.815),-1900251402.0,-2282729815.0
