row_label_raw,row_label_full,col_0,Trang trại,Trang trại_1,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Trang trại,numeric__Trang trại_1,numeric__Thịt và các sản phẩm từ thịt,numeric__Thịt và các sản phẩm từ thịt_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2023VND,2022VND,2023VND,2022VND,2023VND,2022VND,2023VND,2022VND,,,,,,,,
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,1.989.966.420.451,1.988.992.463.570,4.994.476.144.730,2.795.578.787.995,-,-,6.984.442.565.181,4.784.571.251.565,1989966420451.0,1988992463570.0,4994476144730.0,2795578787995.0,,,6984442565181.0,4784571251565.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,921.468.177.096,905.991.912.806,598.658.257,38.885.000,(922.066.835.353),(906.030.797.806),-,-,921468177096.0,905991912806.0,598658257.0,38885000.0,-922066835353.0,-906030797806.0,,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,2.911.434.597.547,2.894.984.376.376,4.995.074.802.987,2.795.617.672.995,(922.066.835.353),(906.030.797.806),6.984.442.565.181,4.784.571.251.565,2911434597547.0,2894984376376.0,4995074802987.0,2795617672995.0,-922066835353.0,-906030797806.0,6984442565181.0,4784571251565.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,35.162.665.702,162.335.089.209,(259.331.903.237),(618.286.938.953),-,-,(224.169.237.535),(455.951.849.744),35162665702.0,162335089209.0,-259331903237.0,-618286938953.0,,,-224169237535.0,-455951849744.0
(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết,(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết,(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết,,,,,,,(302.311.848.334)1.771.754.842,223.587.283.111-,,,,,,,,
Kết quả từ hoạt động kinh doanh,(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,,(524.709.331.027),(232.364.566.633),,,,,,,-524709331027.0,-232364566633.0
Thu nhập khác,(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Thu nhập khác,Thu nhập khác,,,,,,,10.216.223.505,7.262.388.853,,,,,,,10216223505.0,7262388853.0
Chi phí khác,(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Chi phí khác,Chi phí khác,,,,,,,(27.261.323.674),(10.939.509.494),,,,,,,-27261323674.0,-10939509494.0
Thuế thu nhập doanh nghiệp,(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,,1.900.251.402,2.282.729.815,,,,,,,1900251402.0,2282729815.0
Lỗ thuần sau thuế thu nhập doanh nghiệp,(Chi phí)/doanh thu hoạt động tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Lỗ thuần sau thuế thu nhập doanh nghiệp,Lỗ thuần sau thuế thu nhập doanh nghiệp,,,,,,,(539.854.179.794),(233.758.957.459),,,,,,,-539854179794.0,-233758957459.0
