row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Opening balance,numeric__Opening balance_1
,,,Cost,VND Provision,Cost,VND Provision,,,,
a. Inventories,a. Inventories,a. Inventories,a. Inventories,a. Inventories,a. Inventories,a. Inventories,,,,
Goods in transit,Goods in transit,Goods in transit,"138,038,174,579",-,"69,577,389,222",-,,,,
Raw materials,Raw materials,Raw materials,"450,474,860,815","(4,211,883)","309,731,169,770","(73,056,320)",,,,
Tools and supplies,Tools and supplies,Tools and supplies,"3,201,787,443",-,"5,298,243,692",-,,,,
Work in progress,Work in progress,Work in progress,"19,109,757,591",-,"75,589,098,796",-,,,,
Finished goods,Finished goods,Finished goods,"813,862,333,269",-,"1,090,432,350,124","(22,332,360,042)",,,,
Merchandise,Merchandise,Merchandise,"149,178,167,543",-,"262,595,186,288",-,,,,
,,,"1,573,865,081,240","(4,211,883)","1,813,223,437,892","(22,405,416,362)",,,,
b. Long-term reserved spare parts,b. Long-term reserved spare parts,b. Long-term reserved spare parts,"128,013,698,990",-,"129,152,858,473",-,,,,
Total,Total,Total,"1,701,878,780,230","(4,211,883)","1,942,376,296,365","(22,405,416,362)",,,,
