row_label_raw,row_label_full,col_0,Contributed capital,Contributed capital_1,Contributed capital_2,Contributed capital_3,numeric__Contributed capital,numeric__Contributed capital_1,numeric__Contributed capital_2,numeric__Contributed capital_3
,,,Closing balance,Closing balance,Opening balance,Opening balance,,,,
,,,Number of shares,%,Number of shares,%,,,,
Shareholders,Shareholders,Shareholders,Shareholders,Shareholders,Shareholders,Shareholders,,,,
Vietnam Oil and Gas Group,Shareholders > Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,"233,204,253",59.58,"233,204,253",59.58,,5958.0,,5958.0
Others,Shareholders > Others,Others,"158,130,007",40.40,"158,130,007",40.40,,4040.0,,4040.0
,,,"391,334,260",99.98,"391,334,260",99.98,,9998.0,,9998.0
Treasury shares,Shareholders > Treasury shares,Treasury shares,"65,740",0.02,"65,740",0.02,65.74,2.0,65.74,2.0
,,,"391,400,000",100.00,"391,400,000",100.00,,10000.0,,10000.0
