row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,numeric__Closing balance,numeric__Closing balance_1
,,,VND Amount/ Amount able to be paid off,Opening balance VND Amount/ Amount able to be paid off,,
a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,,
Green Leaf International Company Limited,Green Leaf International Company Limited,Green Leaf International Company Limited,"6,644,636,920","6,329,324,980",,
Technip Italy S.p.A,Technip Italy S.p.A,Technip Italy S.p.A,"6,241,005,205","13,896,504,050",,
CMC Technology And Solution Company Limited,CMC Technology And Solution Company Limited,CMC Technology And Solution Company Limited,-,"6,854,085,000",,
Others,Others,Others,"125,790,123,136","167,553,917,204",,
,,,"138,675,765,261","194,633,831,234",,
b. Short-term trade payables to related parties (Details stated in Note 34),b. Short-term trade payables to related parties (Details stated in Note 34),b. Short-term trade payables to related parties (Details stated in Note 34),b. Short-term trade payables to related parties (Details stated in Note 34),b. Short-term trade payables to related parties (Details stated in Note 34),,
,,,"563,298,984,694","599,181,765,181",,
,,,"701,974,749,955","793,815,596,415",,
