row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Profit before tax,Profit before tax,Profit before tax,"615,032,458,636","708,777,871,474",,
Adjustments for taxable profit,Adjustments for taxable profit,Adjustments for taxable profit,Adjustments for taxable profit,Adjustments for taxable profit,,
Less: non-taxable income,Less: non-taxable income,Less: non-taxable income,"(323,569,816,038)","(1,283,444,651,922)",,
Add back: non-deductible expenses,Add back: non-deductible expenses,Add back: non-deductible expenses,"622,468,681,807","335,272,705,796",,
Loss carry-forward,Loss carry-forward,Loss carry-forward,"(239,394,074,652)",-,,
Taxable profit/(loss),Taxable profit/(loss),Taxable profit/(loss),"674,537,249,753","(239,394,074,652)",,
In which:,In which:,In which:,In which:,In which:,,
Taxable (loss)/profit subjected to the incentive tax rate,Taxable (loss)/profit subjected to the incentive tax rate,Taxable (loss)/profit subjected to the incentive tax rate,"(140,104,240,701)","(668,930,838,506)",,
Taxable profit subjected to the normal tax rate,Taxable profit subjected to the normal tax rate,Taxable profit subjected to the normal tax rate,"814,641,490,454","429,536,763,854",,
Corporate income tax expense based on taxable profit in the current year,Corporate income tax expense based on taxable profit in the current year,Corporate income tax expense based on taxable profit in the current year,"134,907,449,951",-,,
