row_label_raw,row_label_full,col_0,"Dự phòng sửa chữa, bảo dưỡng tổng thể cho Nhà máy Đạm Phú Mỹ","numeric__Dự phòng sửa chữa, bảo dưỡng tổng thể cho Nhà máy Đạm Phú Mỹ"
,,,VND,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,102.177.312.389,102177312389.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,153.265.968.587,153265968587.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(1.469.550.000),-1469550000.0
Phân loại lại,Phân loại lại,Phân loại lại,(253.973.730.976),-253973730976.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,
