row_label_raw,row_label_full,ASSETS,ASSETS_1,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS_1,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
B.,B.,B.,NON-CURRENT ASSETS,200,,"3,629,719,444,739","4,034,859,789,217",,200.0,,,
I.,I.,I.,Long-term receivables,210,,"845,000,000","616,100,000",,210.0,,,
1.,1.,1.,Other long-term receivables,216,8,"845,000,000","616,100,000",,216.0,8.0,,
II.,II.,II.,Fixed assets,220,,"2,649,332,680,208","2,920,306,263,552",,220.0,,,
1.,1.,1.,Tangible fixed assets,221,12,"1,843,351,692,442","2,139,799,946,632",,221.0,12.0,,
1.,1.,1.,- Cost,222,,"11,434,291,097,154","11,374,970,849,546",,222.0,,,
1.,1.,1.,- Accumulated depreciation,223,,"(9,590,939,404,712)","(9,235,170,902,914)",,223.0,,,
2.,2.,2.,Intangible assets,227,13,"805,980,987,766","780,506,316,920",,227.0,13.0,,
2.,2.,2.,- Cost,228,,"1,159,815,731,217","1,121,085,705,759",,228.0,,,
2.,2.,2.,- Accumulated amortisation,229,,"(353,834,743,451)","(340,579,388,839)",,229.0,,,
III.,III.,III.,Investment property,230,14,"180,772,898,610","190,456,645,571",,230.0,14.0,,
III.,III.,III.,- Cost,231,,"317,953,542,202","317,953,542,202",,231.0,,,
III.,III.,III.,- Accumulated depreciation,232,,"(137,180,643,592)","(127,496,896,631)",,232.0,,,
IV.,IV.,IV.,Long-term assets in progress,240,,"89,432,287,256","263,451,212,754",,240.0,,,
1.,1.,1.,Construction in progress,242,16,"89,432,287,256","263,451,212,754",,242.0,16.0,,
V.,V.,V.,Long-term financial investments,250,5,"408,053,000,000","408,053,000,000",,250.0,5.0,,
1.,1.,1.,Investments in subsidiaries,251,,"386,250,000,000","386,250,000,000",,251.0,,,
2.,2.,2.,Investments in associates,252,,"680,903,000,000","680,903,000,000",,252.0,,,
3.,3.,3.,Equity investments in other entities,253,,"20,502,000,000","20,502,000,000",,253.0,,,
4.,4.,4.,Provision for impairment of long-term financial investments,254,,"(679,602,000,000)","(679,602,000,000)",,254.0,,,
VI.,VI.,VI.,Other long-term assets,260,,"301,283,578,665","251,976,567,340",,260.0,,,
1.,1.,1.,Long-term prepayments,261,11,"54,893,338,597","41,932,369,816",,261.0,11.0,,
2.,2.,2.,Deferred tax assets,262,17,"95,439,059,946","57,953,857,919",,262.0,17.0,,
3.,3.,3.,Long-term reserved spare parts,263,10,"128,013,698,990","129,152,858,473",,263.0,10.0,,
4.,4.,4.,Other long-term assets,268,,"22,937,481,132","22,937,481,132",,268.0,,,
,,,TOTAL ASSETS (270=100+200),270,,"16,126,239,566,037","12,971,877,511,584",,270.0,,,
